timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm
20/11/2020 17:10:00;20/11/2020;17:10:00;12.2;13.0;1019.0;0.0;0.0;11.8;0.6;;;21.8;4.3;;;;;;;;;;;9.2;;;;;;;;;;;
20/11/2020 17:11:00;20/11/2020;17:11:00;12.2;19.0;1019.0;0.0;0.0;11.7;0.6;;;21.8;4.2;;;;;;;;;;;9.6;;;;;;;;;;;
20/11/2020 17:12:00;20/11/2020;17:12:00;12.2;36.0;1019.1;0.0;0.0;11.7;0.61;;;21.8;4.4;;;;;;;;;;;9.3;;;;;;;;;;;
20/11/2020 17:14:00;20/11/2020;17:14:00;12.2;21.0;1019.1;0.0;0.0;11.7;0.61;;;19.1;4.4;;;;;;;;;;;9.3;;;;;;;;;;;
20/11/2020 17:16:00;20/11/2020;17:16:00;12.2;18.0;1019.0;0.0;0.0;11.7;0.61;;;17.3;4.4;;;;;;;;;;;8.7;;;;;;;;;;;
20/11/2020 17:18:00;20/11/2020;17:18:00;12.2;19.0;1019.1;0.0;0.0;11.7;0.61;;;19.1;4.4;;;;;;;;;;;9.2;;;;;;;;;;;
20/11/2020 17:19:00;20/11/2020;17:19:00;12.2;54.0;1019.1;0.0;0.0;11.7;0.61;;;19.1;4.4;;;;;;;;;;;9.3;;;;;;;;;;;
20/11/2020 17:20:00;20/11/2020;17:20:00;12.2;59.0;1019.1;0.0;0.0;11.7;0.61;;;19.1;4.4;;;;;;;;;;;9.0;;;;;;;;;;;
20/11/2020 17:22:00;20/11/2020;17:22:00;12.2;17.0;1019.2;0.0;0.0;11.6;0.61;;;25.2;4.3;;;;;;;;;;;8.2;;;;;;;;;;;
20/11/2020 17:26:00;20/11/2020;17:26:00;14.0;3.0;1019.3;0.0;0.0;11.7;0.61;;;25.2;4.4;;;;;;;;;;;9.1;;;;;;;;;;;
