timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m
20/11/2020 19:00:00;20/11/2020;19:00:00;0.0;180;;5.8;;3.3;0.97;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;
20/11/2020 20:00:00;20/11/2020;20:00:00;0.0;247.5;;5.8;;2.6;0.99;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;
20/11/2020 21:00:00;20/11/2020;21:00:00;0.0;157.5;;5.8;;1.8;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;
20/11/2020 22:00:00;20/11/2020;22:00:00;0.7775377969762418;247.5;;5.8;;1.1;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;
20/11/2020 23:00:00;20/11/2020;23:00:00;0.0;270;;5.8;;1.1;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;
21/11/2020 00:00:00;21/11/2020;00:00:00;0.5831533477321814;135;;0.0;;0.3;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;
21/11/2020 01:00:00;21/11/2020;01:00:00;0.3887688984881209;247.5;;0.0;;0.0;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;
21/11/2020 02:00:00;21/11/2020;02:00:00;0.0;225;;0.0;;-0.5;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;
21/11/2020 03:00:00;21/11/2020;03:00:00;0.0;225;;0.0;;-0.9;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;
21/11/2020 04:00:00;21/11/2020;04:00:00;0.19438444924406045;270;;0.0;;-1.0;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;
