timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc
02/01/2021 18:00:00;02/01/2021;18:00:00;0.0;67.5;;27.8;;0.8;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 18:00:00;02/01/2021;18:00:00;0.0;67.5;;27.8;;0.8;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 18:00:00;02/01/2021;18:00:00;0.0;67.5;;27.8;;0.8;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 19:00:00;02/01/2021;19:00:00;0.0;135;;28.0;;1.0;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 20:00:00;02/01/2021;20:00:00;0.0;45;;28.4;;1.1;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 21:00:00;02/01/2021;21:00:00;0.0;292.5;;29.4;;0.9;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 22:00:00;02/01/2021;22:00:00;0.19438444924406045;337.5;;30.6;;1.1;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
02/01/2021 23:00:00;02/01/2021;23:00:00;0.0;270;;31.0;;1.0;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 00:00:00;03/01/2021;00:00:00;0.7775377969762418;0;;0.0;;1.1;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 01:00:00;03/01/2021;01:00:00;0.19438444924406045;225;;0.8;;1.1;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 02:00:00;03/01/2021;02:00:00;0.7775377969762418;337.5;;2.2;;1.1;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 03:00:00;03/01/2021;03:00:00;0.0;90;;2.4;;1.1;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 04:00:00;03/01/2021;04:00:00;1.1663066954643628;247.5;;2.4;;1.2;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 05:00:00;03/01/2021;05:00:00;0.0;292.5;;2.6;;1.0;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 06:00:00;03/01/2021;06:00:00;0.0;225;;2.6;;1.1;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 07:00:00;03/01/2021;07:00:00;0.19438444924406045;180;;3.6;;1.1;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 08:00:00;03/01/2021;08:00:00;0.0;135;;4.0;;1.3;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 09:00:00;03/01/2021;09:00:00;0.0;225;;4.0;;1.6;1.0;;;;0.0;;;35.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 10:00:00;03/01/2021;10:00:00;0.3887688984881209;157.5;;4.6;;2.3;1.0;;;;0.0;;;91.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 11:00:00;03/01/2021;11:00:00;0.0;180;;4.6;;2.6;1.0;;;;0.0;;;77.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 12:00:00;03/01/2021;12:00:00;0.0;292.5;;4.8;;3.6;1.0;;;;0.0;;;153.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 13:00:00;03/01/2021;13:00:00;0.0;315;;4.8;;4.5;1.0;;;;0.0;;;146.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 14:00:00;03/01/2021;14:00:00;0.0;180;;4.8;;4.6;1.0;;;;0.0;;;167.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 15:00:00;03/01/2021;15:00:00;0.0;157.5;;4.8;;3.9;1.0;;;;0.0;;;105.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 16:00:00;03/01/2021;16:00:00;0.0;292.5;;4.8;;3.3;1.0;;;;0.0;;;28.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 17:00:00;03/01/2021;17:00:00;0.0;247.5;;4.8;;2.4;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 18:00:00;03/01/2021;18:00:00;0.0;22.5;;4.8;;1.7;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 19:00:00;03/01/2021;19:00:00;0.3887688984881209;247.5;;4.8;;1.3;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 20:00:00;03/01/2021;20:00:00;0.0;337.5;;4.8;;1.3;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 21:00:00;03/01/2021;21:00:00;0.0;22.5;;4.8;;0.7;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 22:00:00;03/01/2021;22:00:00;0.9719222462203023;225;;4.8;;0.6;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
03/01/2021 23:00:00;03/01/2021;23:00:00;0.9719222462203023;292.5;;4.8;;0.6;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
04/01/2021 00:00:00;04/01/2021;00:00:00;0.5831533477321814;315;;0.0;;0.6;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
04/01/2021 01:00:00;04/01/2021;01:00:00;0.5831533477321814;247.5;;0.0;;0.8;1.0;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;
