timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm
20/11/2020 17:05:00;20/11/2020;17:05:00;0.0;270;1024.4;3.6;0.0;8.8;0.73;;8.3;5.237580993520518;4.4;8.9;8.9;0.0;0.0;15.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6
20/11/2020 17:12:00;20/11/2020;17:12:00;0.8639308855291576;270;1024.6;3.6;0.0;8.3;0.73;;8.3;5.237580993520518;3.9;8.3;8.9;0.0;0.0;15.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6
20/11/2020 17:13:00;20/11/2020;17:13:00;1.7278617710583153;270;1024.6;3.6;0.0;8.3;0.72;;8.3;5.237580993520518;3.3;7.8;8.9;0.0;0.0;15.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6
20/11/2020 17:14:00;20/11/2020;17:14:00;1.7278617710583153;270;1024.7;3.6;0.0;8.3;0.73;;8.3;5.237580993520518;3.9;7.8;8.9;0.0;0.0;15.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6
20/11/2020 17:15:00;20/11/2020;17:15:00;0.8639308855291576;270;1024.7;3.6;0.0;8.3;0.73;;8.3;5.237580993520518;3.9;8.3;8.9;0.0;0.0;15.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6
20/11/2020 17:17:00;20/11/2020;17:17:00;0.8639308855291576;270;1024.6;3.6;0.0;8.2;0.74;;8.3;5.237580993520518;3.9;8.3;8.9;0.0;0.0;15.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6
20/11/2020 17:18:00;20/11/2020;17:18:00;0.8639308855291576;270;1024.7;3.6;0.0;8.2;0.74;;8.3;5.237580993520518;3.9;8.3;8.9;0.0;0.0;15.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6
20/11/2020 17:19:00;20/11/2020;17:19:00;0.8639308855291576;270;1024.7;3.6;0.0;8.2;0.74;;7.8;5.237580993520518;3.9;8.3;8.9;0.0;0.0;15.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6
20/11/2020 17:20:00;20/11/2020;17:20:00;0.8639308855291576;270;1024.6;3.6;0.0;8.2;0.74;;7.8;5.237580993520518;3.9;8.3;8.9;0.0;0.0;15.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6
20/11/2020 17:21:00;20/11/2020;17:21:00;0.8639308855291576;270;1024.7;3.6;0.0;8.2;0.74;;7.8;5.237580993520518;3.9;8.3;8.9;0.0;0.0;15.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6
