timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m
20/11/2020 20:18:00;20/11/2020;20:18:00;0.8639308855291576;292.5;1027.1;3.6;0.0;5.3;0.82;;5.6;5.237580993520518;2.2;5.6;8.3;0.0;0.0;14.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:19:00;20/11/2020;20:19:00;0.0;292.5;1027.1;3.6;0.0;5.3;0.82;;5.6;5.237580993520518;2.2;5.6;8.3;0.0;0.0;14.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:20:00;20/11/2020;20:20:00;0.0;292.5;1027.2;3.6;0.0;5.3;0.82;;5.6;5.237580993520518;2.2;5.6;8.3;0.0;0.0;14.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:21:00;20/11/2020;20:21:00;0.0;292.5;1027.2;3.6;0.0;5.3;0.82;;5.6;5.237580993520518;2.2;5.6;8.3;0.0;0.0;14.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:22:00;20/11/2020;20:22:00;0.8639308855291576;292.5;1027.3;3.6;0.0;5.3;0.82;;5.6;5.237580993520518;2.2;5.6;8.3;0.0;0.0;14.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:23:00;20/11/2020;20:23:00;0.0;292.5;1027.3;3.6;0.0;5.2;0.81;;5.0;5.237580993520518;2.2;5.0;8.3;0.0;0.0;14.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:24:00;20/11/2020;20:24:00;0.8639308855291576;292.5;1027.3;3.6;0.0;5.1;0.81;;5.0;5.237580993520518;2.2;5.0;8.3;0.0;0.0;14.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:25:00;20/11/2020;20:25:00;0.0;292.5;1027.3;3.6;0.0;5.1;0.82;;5.0;5.237580993520518;2.2;5.0;8.3;0.0;0.0;14.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:26:00;20/11/2020;20:26:00;0.0;292.5;1027.4;3.6;0.0;4.9;0.82;;5.0;5.237580993520518;2.2;5.0;8.3;0.0;0.0;13.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:27:00;20/11/2020;20:27:00;0.0;292.5;1027.4;3.6;0.0;4.9;0.82;;5.0;5.237580993520518;2.2;5.0;8.3;0.0;0.0;13.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:28:00;20/11/2020;20:28:00;0.8639308855291576;292.5;1027.4;3.6;0.0;4.8;0.82;;5.0;5.237580993520518;2.2;5.0;8.3;0.0;0.0;13.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:29:00;20/11/2020;20:29:00;0.0;292.5;1027.5;3.6;0.0;4.8;0.83;;5.0;5.237580993520518;2.2;5.0;8.3;0.0;0.0;13.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:30:00;20/11/2020;20:30:00;1.7278617710583153;292.5;1027.4;3.6;0.0;4.8;0.83;;5.0;5.237580993520518;2.2;4.4;8.3;0.0;0.0;13.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:31:00;20/11/2020;20:31:00;1.7278617710583153;292.5;1027.5;3.6;0.0;4.7;0.83;;4.4;5.237580993520518;2.2;3.3;8.3;0.0;0.0;13.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:33:00;20/11/2020;20:33:00;0.0;292.5;1027.5;3.6;0.0;4.6;0.83;;4.4;5.237580993520518;2.2;4.4;8.3;0.0;0.0;13.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:34:00;20/11/2020;20:34:00;0.0;292.5;1027.5;3.6;0.0;4.6;0.83;;4.4;5.237580993520518;1.7;4.4;8.3;0.0;0.0;13.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:35:00;20/11/2020;20:35:00;0.0;292.5;1027.5;3.6;0.0;4.5;0.84;;4.4;5.237580993520518;2.2;4.4;8.3;0.0;0.0;13.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
20/11/2020 20:36:00;20/11/2020;20:36:00;0.0;292.5;1027.6;3.6;0.0;4.4;0.84;;4.4;5.237580993520518;2.2;4.4;8.3;0.0;0.0;13.0;9.6;1129.4;0.8;15.5;725.7;;;;;;;;;;;;3.6;
