timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc
02/01/2021 18:25:00;02/01/2021;18:25:00;0.0;270;1006.7;25.3;0.5;0.6;0.96;;;0.0;0.0;;;;;;26.4;26.4;;;;-0.9;-1.6;0.6;Notte/Smesso di nevicare;0.4;;;;;0.0;0.5;;;;;
02/01/2021 18:30:00;02/01/2021;18:30:00;0.0;270;1006.5;25.8;1.1;0.6;0.96;;;0.0;0.0;;;;;;26.9;26.9;;;;-0.9;-1.6;0.6;Notte/Neve;0.4;;;;;0.0;0.5;;;;;
02/01/2021 18:40:00;02/01/2021;18:40:00;0.0;270;1006.5;25.8;1.1;0.6;0.96;;;0.0;0.0;;;;;;26.9;26.9;;;;-0.9;-1.6;0.6;Notte/Recente showers;0.4;;;;;0.0;0.5;;;;;
02/01/2021 18:45:00;02/01/2021;18:45:00;0.0;270;1006.5;25.8;1.1;0.7;0.96;;;0.0;0.1;;;;;;26.9;26.9;;;;-0.7;-1.4;0.7;Notte/Smesso di nevicare;0.5;;;;;0.0;0.5;;;;;
02/01/2021 18:55:00;02/01/2021;18:55:00;0.0;247.5;1006.5;25.8;0.5;0.7;0.96;;;0.0;0.1;;;;;;26.9;26.9;;;;-0.7;-1.4;0.7;Notte/Smesso di nevicare;0.5;;;;;0.0;0.5;;;;;
02/01/2021 18:55:00;02/01/2021;18:55:00;0.0;247.5;1006.5;25.8;0.5;0.7;0.96;;;0.0;0.1;;;;;;26.9;26.9;;;;-0.7;-1.4;0.7;Notte/Smesso di nevicare;0.5;;;;;0.0;0.5;;;;;
02/01/2021 19:05:00;02/01/2021;19:05:00;0.0;315;1006.6;25.8;0.5;0.7;0.96;;;0.0;0.1;;;;;;26.9;26.9;;;;-0.7;-1.4;0.7;Notte/Smesso di nevicare;0.5;;;;;0.0;0.5;;;;;
02/01/2021 19:10:00;02/01/2021;19:10:00;0.0;315;1006.7;26.4;1.1;0.6;0.96;;;0.0;0.0;;;;;;27.4;27.4;;;;-0.9;-1.6;0.6;Notte/Neve;0.4;;;;;0.0;0.5;;;;;
02/01/2021 19:15:00;02/01/2021;19:15:00;0.0;315;1006.8;26.4;1.1;0.6;0.96;;;0.0;0.0;;;;;;27.4;27.4;;;;-0.9;-1.6;0.6;Notte/Neve;0.4;;;;;0.0;0.5;;;;;
02/01/2021 19:20:00;02/01/2021;19:20:00;0.0;315;1006.7;26.4;1.1;0.6;0.96;;;0.0;0.0;;;;;;27.4;27.4;;;;-0.9;-1.6;0.6;Notte/Recente showers;0.4;;;;;0.0;0.5;;;;;
02/01/2021 19:25:00;02/01/2021;19:25:00;0.0;292.5;1006.8;26.4;1.1;0.6;0.96;;;0.0;0.0;;;;;;27.4;27.4;;;;-0.9;-1.6;0.6;Notte/Nessun fenomeno;0.4;;;;;0.0;0.5;;;;;
02/01/2021 19:30:00;02/01/2021;19:30:00;0.0;270;1006.6;26.4;0.5;0.6;0.96;;;0.0;0.0;;;;;;27.4;27.4;;;;-0.9;-1.6;0.6;Notte/Nessun fenomeno;0.4;;;;;0.0;0.5;;;;;
02/01/2021 19:35:00;02/01/2021;19:35:00;0.0;270;1006.7;26.4;0.5;0.7;0.96;;;0.0;0.1;;;;;;27.4;27.4;;;;-0.7;-1.4;0.7;Notte/Smesso di nevicare;0.5;;;;;0.0;0.5;;;;;
02/01/2021 19:40:00;02/01/2021;19:40:00;0.0;225;1006.5;26.4;0.5;0.7;0.96;;;0.0;0.1;;;;;;27.4;27.4;;;;-0.7;-1.4;0.7;Notte/Smesso di nevicare;0.5;;;;;0.0;0.5;;;;;
02/01/2021 19:45:00;02/01/2021;19:45:00;0.0;247.5;1006.6;26.4;0.5;0.8;0.96;;;0.0;0.2;;;;;;27.4;27.4;;;;-0.6;-1.3;0.8;Notte/Smesso di nevicare;0.6;;;;;0.0;0.5;;;;;
02/01/2021 19:55:00;02/01/2021;19:55:00;0.0;247.5;1006.5;26.4;0.5;0.8;0.96;;;0.0;0.2;;;;;;27.4;27.4;;;;-0.6;-1.3;0.8;Notte/Smesso di nevicare;0.6;;;;;0.0;0.5;;;;;
02/01/2021 20:00:00;02/01/2021;20:00:00;0.0;247.5;1006.5;26.4;0.5;0.8;0.96;;;0.0;0.2;;;;;;27.4;27.4;;;;-0.6;-1.3;0.8;Notte/Smesso di nevicare;0.6;;;;;0.0;0.5;;;;;
02/01/2021 20:05:00;02/01/2021;20:05:00;0.0;247.5;1006.5;26.9;1.1;0.8;0.96;;;0.0;0.2;;;;;;28.0;28.0;;;;-0.6;-1.3;0.8;Notte/Neve;0.6;;;;;0.0;0.5;;;;;
02/01/2021 20:10:00;02/01/2021;20:10:00;0.0;270;1006.4;26.9;0.5;0.8;0.96;;;0.0;0.2;;;;;;28.0;28.0;;;;-0.6;-1.3;0.8;Notte/Neve;0.6;;;;;0.0;0.5;;;;;
02/01/2021 20:15:00;02/01/2021;20:15:00;0.0;270;1006.6;26.9;0.5;0.7;0.96;;;0.0;0.1;;;;;;28.0;28.0;;;;-0.7;-1.4;0.7;Notte/Recente showers;0.5;;;;;0.0;0.5;;;;;
02/01/2021 20:20:00;02/01/2021;20:20:00;0.0;270;1006.5;26.9;0.5;0.7;0.96;;;0.0;0.1;;;;;;28.0;28.0;;;;-0.7;-1.4;0.7;Notte/Smesso di nevicare;0.5;;;;;0.0;0.5;;;;;
02/01/2021 20:25:00;02/01/2021;20:25:00;0.0;270;1006.5;26.9;0.5;0.6;0.96;;;0.0;0.0;;;;;;28.0;28.0;;;;-0.9;-1.6;0.6;Notte/Nessun fenomeno;0.4;;;;;0.0;0.5;;;;;
02/01/2021 20:30:00;02/01/2021;20:30:00;0.0;270;1006.5;26.9;0.5;0.6;0.96;;;0.0;0.0;;;;;;28.0;28.0;;;;-0.9;-1.6;0.6;Notte/Nessun fenomeno;0.4;;;;;0.0;0.5;;;;;
