timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp
03/02/2021 09:50:00;03/02/2021;09:50:00;0.0;292.5;1014.9;0.0;0.0;2.6;0.94;;;0.0;1.7;;;;;;0.0;133.2;;;;1.4;0.9;2.6;Nessun fenomeno;2.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 09:55:00;03/02/2021;09:55:00;0.0;292.5;1014.8;0.0;0.0;2.7;0.95;;;0.0;2.0;;;;;;0.0;133.2;;;;1.5;1.1;2.7;Nessun fenomeno;2.4;;;;;0.0;0.0;;;;;;;;
03/02/2021 10:00:00;03/02/2021;10:00:00;0.0;292.5;1014.7;0.0;0.0;2.8;0.95;;;0.0;2.1;;;;;;0.0;133.2;;;;1.6;1.2;2.8;Nessun fenomeno;2.5;;;;;0.0;0.0;;;;;;;;
03/02/2021 10:05:00;03/02/2021;10:05:00;0.0;292.5;1014.8;0.0;0.0;2.9;0.95;;;0.0;2.2;;;;;;0.0;133.2;;;;1.7;1.3;2.9;Nessun fenomeno;2.6;;;;;0.0;0.0;;;;;;;;
03/02/2021 10:10:00;03/02/2021;10:10:00;0.0;292.5;1014.8;0.0;0.0;2.9;0.94;;;0.0;2.0;;;;;;0.0;133.2;;;;1.7;1.3;2.9;Nessun fenomeno;2.6;;;;;0.0;0.0;;;;;;;;
03/02/2021 10:20:00;03/02/2021;10:20:00;0.0;0;1015.0;0.0;0.0;2.5;0.94;;;0.0;1.6;;;;;;0.0;133.2;;;;1.3;0.8;2.5;Nessun fenomeno;2.2;;;;;0.0;0.0;;;;;;;;
03/02/2021 11:05:00;03/02/2021;11:05:00;0.0;0;1014.8;0.0;0.0;3.2;0.94;;;0.0;2.3;;;;;;0.0;133.2;;;;2.1;1.7;3.2;Nessun fenomeno;2.9;;;;;0.0;0.0;;;;;;;;
03/02/2021 11:10:00;03/02/2021;11:10:00;0.0;292.5;1014.9;0.0;0.0;3.3;0.93;;;0.0;2.3;;;;;;0.0;133.2;;;;2.2;1.7;3.3;Nessun fenomeno;2.9;;;;;0.0;0.0;;;;;;;;
03/02/2021 11:15:00;03/02/2021;11:15:00;0.0;292.5;1014.9;0.0;0.0;3.3;0.93;;;0.0;2.3;;;;;;0.0;133.2;;;;2.2;1.7;3.3;Nessun fenomeno;2.9;;;;;0.0;0.0;;;;;;;;
03/02/2021 11:20:00;03/02/2021;11:20:00;0.0;247.5;1014.8;0.0;0.0;3.4;0.93;;;0.0;2.4;;;;;;0.0;133.2;;;;2.3;1.9;3.4;Nessun fenomeno;3.0;;;;;0.0;0.0;;;;;;;;
03/02/2021 15:10:00;03/02/2021;15:10:00;0.0;292.5;1012.2;0.0;0.0;4.1;0.92;;;0.0;2.9;;;;;;0.0;133.2;;;;3.1;2.7;4.1;Nessun fenomeno;3.6;;;;;0.0;0.0;;;;;;;;
03/02/2021 15:15:00;03/02/2021;15:15:00;0.0;292.5;1012.2;0.0;0.0;4.1;0.92;;;0.0;2.9;;;;;;0.0;133.2;;;;3.1;2.7;4.1;Nessun fenomeno;3.6;;;;;0.0;0.0;;;;;;;;
03/02/2021 15:25:00;03/02/2021;15:25:00;0.0;292.5;1012.1;0.0;0.0;4.1;0.92;;;0.0;2.9;;;;;;0.0;133.2;;;;3.1;2.7;4.1;Nessun fenomeno;3.6;;;;;0.0;0.0;;;;;;;;
03/02/2021 15:30:00;03/02/2021;15:30:00;0.0;292.5;1012.0;0.0;0.0;4.2;0.92;;;0.0;3.0;;;;;;0.0;133.2;;;;3.2;2.9;4.2;Nessun fenomeno;3.7;;;;;0.0;0.0;;;;;;;;
