timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m
20/11/2020 20:15:00;20/11/2020;20:15:00;0.0;180;1027.0;5.2;0.0;2.4;0.9;;;3.4557235421166306;1.0;;;;;;10.8;1288.8;;;;1.2;0.5;2.4;Night time/Nessun fenomeno;1.9;;;;;0.0;0.0;;
20/11/2020 20:20:00;20/11/2020;20:20:00;0.0;180;1027.0;5.2;0.0;2.2;0.9;;;3.4557235421166306;0.7;;;;;;10.8;1288.8;;;;0.8;0.2;2.2;Night time/Nessun fenomeno;1.6;;;;;0.0;0.0;;
20/11/2020 20:25:00;20/11/2020;20:25:00;0.0;180;1027.2;5.2;0.0;1.9;0.9;;;3.4557235421166306;0.5;;;;;;10.8;1288.8;;;;0.6;-0.1;1.9;Night time/Nessun fenomeno;1.4;;;;;0.0;0.0;;
20/11/2020 20:30:00;20/11/2020;20:30:00;0.0;180;1027.2;5.2;0.0;1.8;0.9;;;3.4557235421166306;0.3;;;;;;10.8;1288.8;;;;0.4;-0.3;1.8;Night time/Nessun fenomeno;1.2;;;;;0.0;0.0;;
20/11/2020 20:35:00;20/11/2020;20:35:00;0.0;180;1027.4;5.2;0.0;1.7;0.9;;;2.5917926565874727;0.3;;;;;;10.8;1288.8;;;;0.3;-0.4;1.7;Night time/Nessun fenomeno;1.2;;;;;0.0;0.0;;
20/11/2020 20:40:00;20/11/2020;20:40:00;0.0;180;1027.5;5.2;0.0;1.6;0.9;;;1.7278617710583153;0.1;;;;;;10.8;1288.8;;;;0.1;-0.6;1.6;Night time/Nessun fenomeno;1.0;;;;;0.0;0.0;;
20/11/2020 20:45:00;20/11/2020;20:45:00;0.0;180;1027.5;5.2;0.0;1.6;0.9;;;1.7278617710583153;0.1;;;;;;10.8;1288.8;;;;0.1;-0.6;1.6;Night time/Nessun fenomeno;1.0;;;;;0.0;0.0;;
20/11/2020 20:50:00;20/11/2020;20:50:00;0.0;180;1027.5;5.2;0.0;1.4;0.9;;;0.0;-0.1;;;;;;10.8;1288.8;;;;-0.0;-0.8;1.4;Night time/Nessun fenomeno;0.9;;;;;0.0;0.0;;
20/11/2020 21:00:00;20/11/2020;21:00:00;0.0;180;1027.8;5.2;0.0;1.2;0.9;;;0.0;-0.2;;;;;;10.8;1288.8;;;;-0.2;-1.0;1.2;Night time/Nessun fenomeno;0.7;;;;;0.0;0.0;;
20/11/2020 21:05:00;20/11/2020;21:05:00;0.0;180;1027.7;5.2;0.0;1.2;0.9;;;0.0;-0.2;;;;;;10.8;1288.8;;;;-0.2;-1.0;1.2;Night time/Nessun fenomeno;0.7;;;;;0.0;0.0;;
20/11/2020 21:10:00;20/11/2020;21:10:00;0.0;180;1027.9;5.2;0.0;1.1;0.9;;;0.0;-0.3;;;;;;10.8;1288.8;;;;-0.4;-1.1;1.1;Night time/Nessun fenomeno;0.6;;;;;0.0;0.0;;
20/11/2020 21:15:00;20/11/2020;21:15:00;0.0;180;1028.0;5.2;0.0;0.9;0.9;;;0.0;-0.5;;;;;;10.8;1288.8;;;;-0.5;-1.3;0.9;Night time/Nessun fenomeno;0.4;;;;;0.0;0.0;;
20/11/2020 21:20:00;20/11/2020;21:20:00;0.0;180;1028.0;5.2;0.0;0.9;0.9;;;0.0;-0.6;;;;;;10.8;1288.8;;;;-0.6;-1.4;0.9;Night time/Nessun fenomeno;0.4;;;;;0.0;0.0;;
20/11/2020 21:25:00;20/11/2020;21:25:00;0.0;180;1028.1;5.2;0.0;0.9;0.9;;;0.8639308855291576;-0.5;;;;;;10.8;1288.8;;;;-0.5;-1.3;0.9;Night time/Nessun fenomeno;0.4;;;;;0.0;0.0;;
20/11/2020 21:30:00;20/11/2020;21:30:00;0.0;180;1028.1;5.2;0.0;0.9;0.9;;;0.8639308855291576;-0.6;;;;;;10.8;1288.8;;;;-0.6;-1.4;0.9;Night time/Nessun fenomeno;0.4;;;;;0.0;0.0;;
20/11/2020 21:35:00;20/11/2020;21:35:00;0.1079913606911447;180;1028.2;5.2;0.0;0.7;0.9;;;1.7278617710583153;-0.7;;;;;;10.8;1288.8;;;;-0.8;-1.6;0.7;Night time/Nessun fenomeno;0.2;;;;;0.2;0.0;;
20/11/2020 21:40:00;20/11/2020;21:40:00;0.3239740820734341;180;1028.3;5.2;0.0;0.8;0.9;;;1.7278617710583153;-0.7;;;;;;10.8;1288.8;;;;-0.7;-1.5;0.8;Night time/Nessun fenomeno;0.3;;;;;0.6;0.0;;
20/11/2020 21:45:00;20/11/2020;21:45:00;0.2159827213822894;180;1028.4;5.2;0.0;0.7;0.9;;;1.7278617710583153;-0.8;;;;;;10.8;1288.8;;;;-0.9;-1.7;0.7;Night time/Nessun fenomeno;0.2;;;;;0.4;0.0;;
20/11/2020 21:50:00;20/11/2020;21:50:00;0.05399568034557235;180;1028.6;5.2;0.0;0.4;0.9;;;1.7278617710583153;-1.0;;;;;;10.8;1288.8;;;;-1.1;-2.0;0.4;Night time/Nessun fenomeno;-0.1;;;;;0.1;0.0;;
20/11/2020 21:55:00;20/11/2020;21:55:00;0.1079913606911447;180;1028.7;5.2;0.0;0.6;0.9;;;1.7278617710583153;-0.8;;;;;;10.8;1288.8;;;;-0.9;-1.8;0.6;Night time/Nessun fenomeno;0.1;;;;;0.2;0.0;;
20/11/2020 22:00:00;20/11/2020;22:00:00;0.2159827213822894;180;1028.7;5.2;0.0;0.8;0.9;;;1.7278617710583153;-0.6;;;;;;10.8;1288.8;;;;-0.7;-1.5;0.8;Night time/Nessun fenomeno;0.3;;;;;0.4;0.0;;
20/11/2020 22:05:00;20/11/2020;22:05:00;0.16198704103671704;180;1028.7;5.2;0.0;0.8;0.9;;;1.7278617710583153;-0.7;;;;;;10.8;1288.8;;;;-0.7;-1.5;0.8;Night time/Nessun fenomeno;0.3;;;;;0.3;0.0;;
20/11/2020 22:10:00;20/11/2020;22:10:00;0.0;180;1028.8;5.2;0.0;0.6;0.9;;;1.7278617710583153;-0.9;;;;;;10.8;1288.8;;;;-1.0;-1.8;0.6;Night time/Nessun fenomeno;0.0;;;;;0.0;0.0;;
20/11/2020 22:15:00;20/11/2020;22:15:00;0.0;180;1028.8;5.2;0.0;0.2;0.9;;;1.7278617710583153;-1.2;;;;;;10.8;1288.8;;;;-1.4;-2.2;0.2;Night time/Nessun fenomeno;-0.3;;;;;0.0;0.0;;
20/11/2020 22:20:00;20/11/2020;22:20:00;0.0;180;1029.0;5.2;0.0;0.2;0.9;;;1.7278617710583153;-1.2;;;;;;10.8;1288.8;;;;-1.4;-2.2;0.2;Night time/Nessun fenomeno;-0.3;;;;;0.0;0.0;;
20/11/2020 22:25:00;20/11/2020;22:25:00;0.26997840172786175;180;1029.1;5.2;0.0;0.6;0.9;;;3.4557235421166306;-0.8;;;;;;10.8;1288.8;;;;-1.6;-1.8;-0.4;Night time/Nessun fenomeno;0.1;;;;;0.5;0.0;;
20/11/2020 22:30:00;20/11/2020;22:30:00;0.8639308855291576;180;1029.1;5.2;0.0;0.6;0.9;;;3.4557235421166306;-0.9;;;;;;10.8;1288.8;;;;-1.0;-1.8;0.6;Night time/Nessun fenomeno;0.0;;;;;1.6;0.0;;
20/11/2020 22:35:00;20/11/2020;22:35:00;0.593952483801296;180;1029.2;5.2;0.0;0.4;0.9;;;3.4557235421166306;-1.1;;;;;;10.8;1288.8;;;;-1.2;-2.0;0.4;Night time/Nessun fenomeno;-0.2;;;;;1.1;0.0;;
20/11/2020 22:40:00;20/11/2020;22:40:00;0.05399568034557235;180;1029.3;5.2;0.0;0.3;0.9;;;3.4557235421166306;-1.1;;;;;;10.8;1288.8;;;;-1.2;-2.1;0.3;Night time/Nessun fenomeno;-0.2;;;;;0.1;0.0;;
20/11/2020 22:45:00;20/11/2020;22:45:00;0.05399568034557235;180;1029.4;5.2;0.0;0.3;0.9;;;3.4557235421166306;-1.2;;;;;;10.8;1288.8;;;;-1.3;-2.2;0.3;Night time/Nessun fenomeno;-0.3;;;;;0.1;0.0;;
20/11/2020 22:50:00;20/11/2020;22:50:00;0.0;180;1029.5;5.2;0.0;0.0;0.9;;;3.4557235421166306;-1.4;;;;;;10.8;1288.8;;;;-1.6;-2.5;0.0;Night time/Nessun fenomeno;-0.5;;;;;0.0;0.0;;
20/11/2020 22:55:00;20/11/2020;22:55:00;0.0;180;1029.5;5.2;0.0;0.0;0.9;;;3.4557235421166306;-1.4;;;;;;10.8;1288.8;;;;-1.6;-2.5;0.0;Night time/Nessun fenomeno;-0.5;;;;;0.0;0.0;;
20/11/2020 23:00:00;20/11/2020;23:00:00;0.0;180;1029.5;5.2;0.0;0.2;0.9;;;3.4557235421166306;-1.2;;;;;;10.8;1288.8;;;;-1.4;-2.2;0.2;Night time/Nessun fenomeno;-0.3;;;;;0.0;0.0;;
20/11/2020 23:05:00;20/11/2020;23:05:00;0.0;180;1029.6;5.2;0.0;0.2;0.9;;;3.4557235421166306;-1.3;;;;;;10.8;1288.8;;;;-1.4;-2.3;0.2;Night time/Nessun fenomeno;-0.4;;;;;0.0;0.0;;
20/11/2020 23:10:00;20/11/2020;23:10:00;0.0;180;1029.7;5.2;0.0;0.0;0.9;;;3.4557235421166306;-1.4;;;;;;10.8;1288.8;;;;-1.6;-2.5;0.0;Night time/Nessun fenomeno;-0.5;;;;;0.0;0.0;;
20/11/2020 23:15:00;20/11/2020;23:15:00;0.0;180;1029.7;5.2;0.0;-0.2;0.9;;;3.4557235421166306;-1.6;;;;;;10.8;1288.8;;;;-1.8;-2.7;-0.2;Night time/Nessun fenomeno;-0.7;;;;;0.0;0.0;;
20/11/2020 23:25:00;20/11/2020;23:25:00;0.0;180;1029.9;5.2;0.0;-0.2;0.9;;;3.4557235421166306;-1.7;;;;;;10.8;1288.8;;;;-1.8;-2.8;-0.2;Night time/Nessun fenomeno;-0.7;;;;;0.0;0.0;;
20/11/2020 23:30:00;20/11/2020;23:30:00;0.0;180;1029.9;5.2;0.0;-0.3;0.9;;;0.8639308855291576;-1.8;;;;;;10.8;1288.8;;;;-2.0;-2.9;-0.3;Night time/Nessun fenomeno;-0.9;;;;;0.0;0.0;;
20/11/2020 23:35:00;20/11/2020;23:35:00;0.0;180;1029.9;5.2;0.0;-0.5;0.9;;;0.8639308855291576;-1.9;;;;;;10.8;1288.8;;;;-2.2;-3.1;-0.5;Night time/Nessun fenomeno;-1.0;;;;;0.0;0.0;;
20/11/2020 23:40:00;20/11/2020;23:40:00;0.0;180;1030.1;5.2;0.0;-0.3;0.9;;;0.8639308855291576;-1.8;;;;;;10.8;1288.8;;;;-2.0;-2.9;-0.3;Night time/Nessun fenomeno;-0.9;;;;;0.0;0.0;;
20/11/2020 23:45:00;20/11/2020;23:45:00;0.0;180;1030.1;5.2;0.0;-0.3;0.9;;;0.8639308855291576;-1.7;;;;;;10.8;1288.8;;;;-1.9;-2.8;-0.3;Night time/Nessun fenomeno;-0.8;;;;;0.0;0.0;;
20/11/2020 23:50:00;20/11/2020;23:50:00;0.0;180;1030.1;5.2;0.0;-0.3;0.9;;;0.0;-1.7;;;;;;10.8;1288.8;;;;-1.9;-2.8;-0.3;Night time/Nessun fenomeno;-0.8;;;;;0.0;0.0;;
20/11/2020 23:55:00;20/11/2020;23:55:00;0.0;180;1029.9;5.2;0.0;-0.3;0.9;;;0.0;-1.7;;;;;;10.8;1288.8;;;;-1.9;-2.8;-0.3;Night time/Nessun fenomeno;-0.8;;;;;0.0;0.0;;
21/11/2020 00:00:00;21/11/2020;00:00:00;0.0;180;1029.9;0.0;0.0;-0.3;0.9;;;0.0;-1.7;;;;;;10.8;1288.8;;;;-1.9;-2.8;-0.3;Night time/Nessun fenomeno;-0.8;;;;;0.0;0.0;;
21/11/2020 00:05:00;21/11/2020;00:05:00;0.0;180;1030.0;0.0;0.0;-0.2;0.9;;;0.0;-1.6;;;;;;10.8;1288.8;;;;-1.8;-2.7;-0.2;Night time/Nessun fenomeno;-0.7;;;;;0.0;0.0;;
21/11/2020 00:10:00;21/11/2020;00:10:00;0.0;180;1030.0;0.0;0.0;-0.1;0.9;;;0.0;-1.6;;;;;;10.8;1288.8;;;;-1.7;-2.6;-0.1;Night time/Nessun fenomeno;-0.6;;;;;0.0;0.0;;
