timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp;last_rain_event_timestamp
10/02/2021 13:53:00;10/02/2021;13:53:00;0.8639308855291576;202.5;997.8;15.6;;6.1;0.8;;;7.829373650107991;2.9;;;163.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/02/2021 13:53:00;10/02/2021;13:53:00;0.8639308855291576;202.5;997.8;15.6;;6.1;0.8;;;7.829373650107991;2.9;;;163.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/02/2021 13:53:00;10/02/2021;13:53:00;0.8639308855291576;202.5;997.8;15.6;;6.1;0.8;;;7.829373650107991;2.9;;;163.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:06:00;11/02/2021;08:06:00;1.7278617710583153;225;1008.5;0.0;;2.3;0.82;;;2.5917926565874727;-0.5;;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:11:00;11/02/2021;08:11:00;1.7278617710583153;202.5;1008.6;0.0;;2.3;0.82;;;3.4557235421166306;-0.5;;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:14:00;11/02/2021;08:14:00;2.5917926565874727;270;1008.8;0.0;;2.3;0.82;;;4.319654427645788;-0.5;;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:17:00;11/02/2021;08:17:00;1.7278617710583153;247.5;1008.8;0.0;;2.3;0.82;;;6.101511879049676;-0.5;;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:20:00;11/02/2021;08:20:00;2.5917926565874727;247.5;1008.9;0.0;;2.4;0.82;;;6.101511879049676;-0.4;;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:23:00;11/02/2021;08:23:00;3.4557235421166306;225;1008.9;0.0;;2.4;0.82;;;6.101511879049676;-0.4;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:26:00;11/02/2021;08:26:00;0.8639308855291576;225;1009.0;0.0;;2.4;0.82;;;6.101511879049676;-0.4;;;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:29:00;11/02/2021;08:29:00;3.4557235421166306;225;1009.0;0.0;;2.4;0.82;;;6.101511879049676;-0.3;;;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:35:00;11/02/2021;08:35:00;0.8639308855291576;247.5;1009.0;0.0;;2.5;0.82;;;6.101511879049676;-0.3;;;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:38:00;11/02/2021;08:38:00;0.0;225;1009.1;0.0;;2.6;0.82;;;6.101511879049676;-0.2;;;37.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:41:00;11/02/2021;08:41:00;5.237580993520518;202.5;1009.1;0.0;;2.6;0.82;;;6.101511879049676;-0.2;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:44:00;11/02/2021;08:44:00;2.5917926565874727;225;1009.1;0.0;;2.6;0.82;;;6.101511879049676;-0.2;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:47:00;11/02/2021;08:47:00;1.7278617710583153;270;1009.3;0.0;;2.6;0.82;;;6.101511879049676;-0.1;;;37.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2021 08:50:00;11/02/2021;08:50:00;3.4557235421166306;225;1009.3;0.0;;2.7;0.82;;;6.101511879049676;-0.1;;;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
