timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm
20/11/2020 17:17:49;20/11/2020;17:17:49;0.0;45;1029.0;6.1;0.0;8.2;0.77;0.0;;0.0;4.4;;;;;;14.3;1303.0;;;;;;;;;;;;;;;
20/11/2020 17:19:45;20/11/2020;17:19:45;0.0;67.5;1029.0;6.1;0.0;8.1;0.77;0.0;;0.0;4.3;;;;;;14.3;1283.3;;;;;;;;;;;;;;;
20/11/2020 17:21:41;20/11/2020;17:21:41;0.0;112.5;1029.0;6.1;0.0;8.0;0.77;0.0;;0.0;4.2;;;;;;14.1;1187.0;;;;;;;;;;;;;;;
20/11/2020 17:23:41;20/11/2020;17:23:41;0.0;90;1029.0;6.1;0.0;7.9;0.77;0.0;;0.0;4.1;;;;;;14.3;1307.2;;;;;;;;;;;;;;;
20/11/2020 17:25:39;20/11/2020;17:25:39;0.0;67.5;1029.0;6.1;0.0;7.9;0.77;0.0;;0.0;4.1;;;;;;14.3;1307.2;;;;;;;;;;;;;;;
20/11/2020 17:27:55;20/11/2020;17:27:55;0.0;45;1029.0;6.1;0.0;7.9;0.79;0.0;;0.0;4.4;;;;;;14.3;1307.2;;;;;;;;;;;;;;;
20/11/2020 17:30:01;20/11/2020;17:30:01;0.0;67.5;1029.0;6.1;0.0;7.8;0.79;0.0;;0.0;4.3;;;;;;14.3;1307.2;;;;;;;;;;;;;;;
20/11/2020 17:31:59;20/11/2020;17:31:59;0.0;45;1029.0;6.1;0.0;7.7;0.8;0.0;;0.0;4.4;;;;;;12.4;867.8;;;;;;;;;;;;;;;
20/11/2020 17:34:07;20/11/2020;17:34:07;0.0;45;1029.0;6.1;0.0;7.6;0.8;0.0;;0.0;4.3;;;;;;14.2;1214.6;;;;;;;;;;;;;;;
20/11/2020 17:36:05;20/11/2020;17:36:05;0.26997840172786175;45;1030.0;6.1;0.0;7.5;0.81;0.0;;0.593952483801296;4.4;;;;;;14.3;1306.7;;;;;;;;;;;;;;;
20/11/2020 17:38:25;20/11/2020;17:38:25;0.0;45;1030.0;6.1;0.0;7.3;0.81;0.0;;0.0;4.2;;;;;;14.3;1307.2;;;;;;;;;;;;;;;
20/11/2020 17:40:24;20/11/2020;17:40:24;0.0;45;1030.0;6.1;0.0;7.1;0.81;0.0;;0.0;4.0;;;;;;14.3;1307.2;;;;;;;;;;;;;;;
20/11/2020 18:51:51;20/11/2020;18:51:51;0.0;45;1031.0;6.1;0.0;4.6;0.85;0.0;;0.0;2.3;;;;;;14.3;1307.2;;;;;;;;;;;;;;;
20/11/2020 18:56:07;20/11/2020;18:56:07;0.0;45;1031.0;6.1;0.0;4.6;0.85;0.0;;0.0;2.3;;;;;;14.3;1307.2;;;;;;;;;;;;;;;
20/11/2020 18:58:02;20/11/2020;18:58:02;0.0;45;1031.0;6.1;0.0;4.6;0.84;0.0;;0.0;2.1;;;;;;8.9;475.4;;;;;;;;;;;;;;;
20/11/2020 19:40:35;20/11/2020;19:40:35;0.0;67.5;1031.0;6.1;0.0;3.6;0.86;0.0;;0.0;1.4;;;;;;13.8;1088.7;;;;1.8;1.8;;;8.7;5.33;7.9;;990.5;;;
20/11/2020 19:44:00;20/11/2020;19:44:00;0.0;45;1031.0;6.1;0.0;3.6;0.86;0.0;;0.0;1.4;;;;;;14.3;1307.2;;;;1.8;1.8;;;8.7;5.33;7.9;;990.5;;;
20/11/2020 19:46:00;20/11/2020;19:46:00;0.0;45;1031.0;6.1;0.0;3.7;0.86;0.0;;0.0;1.5;;;;;;14.3;1307.2;;;;2.0;1.9;;;8.7;5.36;8.0;;990.5;;;
