timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc
02/01/2021 18:28:05;02/01/2021;18:28:05;0.0;135.0;1009.1;0.0;0.0;0.8;1.0;0.0;;0.0;;0.8;;0.0;;;0.8;0.8;0.0;;;-1.1;;;;0.8;;;;1007.0;0.0;;;0.0;;;
02/01/2021 18:33:06;02/01/2021;18:33:06;0.0;135.0;1009.1;0.0;0.0;0.8;1.0;0.0;;0.0;;0.8;;0.0;;;0.8;0.8;0.0;;;-1.1;;;;0.8;;;;1007.0;0.0;;;0.0;;;
02/01/2021 18:39:05;02/01/2021;18:39:05;0.0;135.0;1009.1;0.0;0.0;0.8;1.0;0.0;;1.4;;0.8;;0.0;;;0.8;0.8;0.0;;;-1.1;;;;0.8;;;;1007.0;0.05399568034557235;;;0.0;;;
02/01/2021 18:45:06;02/01/2021;18:45:06;0.0;135.0;1009.1;0.0;0.0;0.8;1.0;0.0;;2.2;;0.8;;0.0;;;0.8;0.8;0.0;;;-1.2;;;;0.8;;;;1007.0;0.3779697624190064;;;0.0;;;
02/01/2021 18:50:05;02/01/2021;18:50:05;0.0;135.0;1009.1;0.0;0.0;0.8;1.0;0.0;;2.2;;0.8;;0.0;;;0.8;0.8;0.0;;;-1.2;;;;0.8;;;;1007.0;0.26997840172786175;;;0.0;;;
02/01/2021 18:54:05;02/01/2021;18:54:05;1.187904967602592;112.0;1009.1;0.0;0.0;0.8;1.0;0.0;;2.2;;0.8;;0.0;;;0.8;0.8;0.0;;;-1.1;;;;0.8;;;;1007.0;0.1079913606911447;;;0.0;;;
02/01/2021 18:56:05;02/01/2021;18:56:05;0.9719222462203023;90.0;1009.1;0.0;0.0;0.8;1.0;0.0;;2.2;;0.8;;0.0;;;0.8;0.8;0.0;;;-1.2;;;;0.8;;;;1007.0;0.3239740820734341;;;0.0;;;
02/01/2021 19:00:06;02/01/2021;19:00:06;0.0;315.0;1009.1;0.0;0.0;0.9;1.0;0.0;;2.5;;0.8;;0.0;;;0.8;0.8;0.0;;;-1.1;;;;0.9;;;;1007.0;0.48596112311015116;;;0.0;;;
02/01/2021 19:05:06;02/01/2021;19:05:06;0.0;202.0;1009.1;0.0;0.0;0.9;1.0;0.0;;2.5;;0.9;;0.0;;;0.8;0.8;0.0;;;-1.1;;;;0.9;;;;1007.0;0.3239740820734341;;;0.0;;;
02/01/2021 19:10:05;02/01/2021;19:10:05;0.0;360.0;1009.1;0.0;0.0;0.9;1.0;0.0;;2.2;;0.9;;0.0;;;0.8;0.8;0.0;;;-1.0;;;;0.9;;;;1007.0;0.1079913606911447;;;0.0;;;
02/01/2021 19:15:05;02/01/2021;19:15:05;0.0;180.0;1009.1;0.0;0.0;0.9;1.0;0.0;;0.0;;0.9;;0.0;;;0.8;0.8;0.0;;;-0.9;;;;0.9;;;;1007.0;0.0;;;0.0;;;
02/01/2021 19:20:05;02/01/2021;19:20:05;0.0;90.0;1009.1;0.0;0.0;0.9;1.0;0.0;;0.0;;0.9;;0.0;;;0.8;0.8;0.0;;;-0.9;;;;0.9;;;;1007.0;0.0;;;0.0;;;
02/01/2021 19:24:06;02/01/2021;19:24:06;0.0;360.0;1009.1;0.0;0.0;0.9;1.0;0.0;;0.0;;0.9;;0.0;;;0.8;0.8;0.0;;;-0.9;;;;0.9;;;;1007.0;0.0;;;0.0;;;
02/01/2021 19:30:05;02/01/2021;19:30:05;0.0;180.0;1009.1;0.0;0.0;0.8;1.0;0.0;;0.0;;0.8;;0.0;;;0.8;0.8;0.0;;;-1.1;;;;0.8;;;;1007.0;0.0;;;0.0;;;
02/01/2021 19:36:05;02/01/2021;19:36:05;0.0;68.0;1009.1;0.0;0.0;0.9;1.0;0.0;;0.0;;0.9;;0.0;;;0.8;0.8;0.0;;;-0.9;;;;0.9;;;;1007.0;0.0;;;0.0;;;
02/01/2021 19:41:05;02/01/2021;19:41:05;0.0;112.0;1009.1;0.0;0.0;0.8;1.0;0.0;;0.0;;0.8;;0.0;;;0.8;0.8;0.0;;;-1.1;;;;0.8;;;;1007.0;0.0;;;0.0;;;
02/01/2021 19:47:06;02/01/2021;19:47:06;0.0;135.0;1009.1;0.0;0.0;0.9;1.0;0.0;;0.0;;0.9;;0.0;;;0.8;0.8;0.0;;;-0.9;;;;0.9;;;;1007.0;0.0;;;0.0;;;
02/01/2021 19:52:04;02/01/2021;19:52:04;0.0;135.0;1009.1;0.0;0.0;0.9;1.0;0.0;;0.0;;0.9;;0.0;;;0.8;0.8;0.0;;;-0.9;;;;0.9;;;;1007.0;0.0;;;0.0;;;
02/01/2021 19:57:06;02/01/2021;19:57:06;2.537796976241901;90.0;1009.1;0.0;0.0;0.9;1.0;0.0;;4.7;;0.9;;0.0;;;0.8;0.8;0.0;;;-1.2;;;;0.9;;;;1007.0;0.7559395248380129;;;0.0;;;
02/01/2021 20:02:06;02/01/2021;20:02:06;0.0;112.0;1009.1;0.0;0.0;1.0;1.0;0.0;;4.7;;1.0;;0.0;;;0.8;0.8;0.0;;;-1.2;;;;1.0;;;;1007.0;1.079913606911447;;;0.0;;;
02/01/2021 20:07:05;02/01/2021;20:07:05;0.0;22.0;1009.1;0.0;0.0;1.0;1.0;0.0;;3.6;;1.0;;0.0;;;0.8;0.8;0.0;;;-1.0;;;;1.0;;;;1007.0;0.3239740820734341;;;0.0;;;
