timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m
03/12/2020 18:20:00;03/12/2020;18:20:00;0.0;337.5;1004.0;8.4;0.0;1.2;0.98;;1.2;3.4557235421166306;0.9;1.2;5.6;;1.0;39.0;17.0;1174.0;;;;1.2;;;;;;;;;0.0;;17.0;
03/12/2020 18:30:00;03/12/2020;18:30:00;0.0;337.5;1004.1;8.4;0.0;1.2;0.98;;1.2;3.4557235421166306;0.9;1.2;5.6;;1.0;38.0;17.0;1174.0;;;;1.2;;;;;;;;;0.0;;17.0;
03/12/2020 18:30:00;03/12/2020;18:30:00;0.0;337.5;1004.1;8.4;0.0;1.2;0.98;;1.2;3.4557235421166306;0.9;1.2;5.6;;1.0;38.0;17.0;1174.0;;;;1.2;;;;;;;;;0.0;;17.0;
03/12/2020 18:51:00;03/12/2020;18:51:00;0.8639308855291576;337.5;1003.9;8.4;0.0;1.1;0.98;;1.1;3.4557235421166306;0.8;1.1;5.6;;1.0;38.0;17.0;1174.0;;;;1.1;;;;;;;;;0.0;;17.0;
03/12/2020 19:01:00;03/12/2020;19:01:00;0.0;337.5;1003.9;8.4;0.0;1.1;0.98;;1.1;3.4557235421166306;0.8;1.1;5.6;;1.0;38.0;17.0;1174.0;;;;1.1;;;;;;;;;0.0;;17.0;
03/12/2020 19:10:00;03/12/2020;19:10:00;0.0;337.5;1004.1;8.4;0.0;1.2;0.98;;1.2;3.4557235421166306;0.9;1.2;5.6;;1.0;38.0;17.0;1174.0;;;;1.2;;;;;;;;;0.0;;17.0;
03/12/2020 19:21:00;03/12/2020;19:21:00;0.0;337.5;1004.1;8.4;0.0;1.4;0.98;;1.4;3.4557235421166306;1.1;1.4;5.6;;1.0;38.0;17.0;1174.0;;;;1.4;;;;;;;;;0.0;;17.0;
03/12/2020 19:31:00;03/12/2020;19:31:00;0.0;135;1004.1;8.4;0.0;1.3;0.98;;1.3;3.4557235421166306;1.0;1.3;5.6;;1.0;38.0;17.0;1174.0;;;;1.3;;;;;;;;;0.0;;17.0;
03/12/2020 19:40:00;03/12/2020;19:40:00;0.0;135;1004.1;8.4;0.0;1.1;0.98;;1.1;3.4557235421166306;0.8;1.1;5.6;;1.0;38.0;17.0;1174.0;;;;1.1;;;;;;;;;0.0;;17.0;
03/12/2020 19:51:00;03/12/2020;19:51:00;0.0;67.5;1004.1;8.6;0.0;1.1;0.98;;1.1;3.4557235421166306;0.8;1.1;5.6;;1.0;38.0;17.2;1174.2;;;;1.1;;;;;;;;;0.0;;17.2;
03/12/2020 20:00:00;03/12/2020;20:00:00;0.0;67.5;1003.9;8.6;0.0;1.1;0.98;;1.1;3.4557235421166306;0.8;1.1;5.6;;1.0;38.0;17.2;1174.2;;;;1.1;;;;;;;;;0.0;;17.2;
