timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc
02/01/2021 18:20:00;02/01/2021;18:20:00;0.8639308855291576;337.5;1005.5;12.0;0.0;0.8;0.98;;0.8;4.319654427645788;0.5;0.8;3.3;;0.9333333333333333;41.0;13.6;13.6;;;;0.8;;;;;;;;;0.0;;38.2;;1.2714;0.21899999999999997;
02/01/2021 18:30:00;02/01/2021;18:30:00;0.8639308855291576;337.5;1005.4;12.2;0.0;0.8;0.98;;0.8;4.319654427645788;0.6;0.8;3.3;;0.9333333333333333;41.0;13.8;13.8;;;;0.8;;;;;;;;;0.8639308855291576;;38.4;;1.271;0.21899999999999997;
02/01/2021 18:40:00;02/01/2021;18:40:00;0.8639308855291576;337.5;1005.3;12.2;0.0;0.8;0.98;;0.8;4.319654427645788;0.6;0.8;3.3;;0.9333333333333333;41.0;13.8;13.8;;;;0.8;;;;;;;;;0.8639308855291576;;38.4;;1.2708;0.21899999999999997;
02/01/2021 18:50:00;02/01/2021;18:50:00;0.8639308855291576;337.5;1005.3;12.4;0.0;0.9;0.98;;0.9;4.319654427645788;0.6;0.9;3.3;;0.9333333333333333;41.0;14.0;14.0;;;;0.9;;;;;;;;;0.0;;38.6;;1.2705;0.21899999999999997;
02/01/2021 18:50:00;02/01/2021;18:50:00;0.8639308855291576;337.5;1005.3;12.4;0.0;0.9;0.98;;0.9;4.319654427645788;0.6;0.9;3.3;;0.9333333333333333;41.0;14.0;14.0;;;;0.9;;;;;;;;;0.0;;38.6;;1.2705;0.21899999999999997;
02/01/2021 19:00:00;02/01/2021;19:00:00;0.0;337.5;1005.5;12.4;0.0;1.0;0.99;;1.0;4.319654427645788;0.9;1.0;3.3;;0.9333333333333333;41.0;14.0;14.0;;;;1.0;;;;;;;;;0.0;;38.6;;1.27;0.22;
02/01/2021 19:10:00;02/01/2021;19:10:00;1.7278617710583153;337.5;1005.5;12.4;0.0;0.9;0.98;;0.9;4.319654427645788;0.7;0.9;3.3;;0.9333333333333333;41.0;14.0;14.0;;;;0.9;;;;;;;;;0.0;;38.6;;1.2705;0.21899999999999997;
02/01/2021 19:20:00;02/01/2021;19:20:00;3.4557235421166306;292.5;1005.5;12.4;0.0;1.1;0.98;;1.1;5.237580993520518;0.8;-0.2;3.3;;0.9333333333333333;41.0;14.0;14.0;;;;-0.2;;;;;;;;;2.5917926565874727;;38.6;;1.2696;0.21899999999999997;
02/01/2021 19:30:00;02/01/2021;19:30:00;2.5917926565874727;292.5;1005.4;12.6;0.0;1.6;0.99;;1.6;6.101511879049676;1.4;0.3;3.3;;0.9333333333333333;41.0;14.2;14.2;;;;0.3;;;;;;;;;2.5917926565874727;;38.8;;1.2671;0.22;
02/01/2021 20:10:00;02/01/2021;20:10:00;1.7278617710583153;315;1005.2;13.2;0.8;0.9;0.98;;0.9;6.101511879049676;0.7;0.9;3.3;;0.9333333333333333;41.0;14.8;14.8;;;;0.9;;;;;;;;;0.8639308855291576;;39.4;;1.2701;0.21899999999999997;
