timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp
03/02/2021 09:51:00;03/02/2021;09:51:00;0.0;292.5;1013.4;0.0;0.0;3.2;0.92;;3.2;1.7278617710583153;2.0;3.2;2.2;;0.0;46.0;0.0;154.6;;;;3.2;;;;;;;;;0.0;;0.0;;1.2691;0.205;;;;
03/02/2021 10:01:00;03/02/2021;10:01:00;0.0;292.5;1013.4;0.0;0.0;3.3;0.91;;3.2;1.7278617710583153;1.9;3.3;2.2;;0.0;46.0;0.0;154.6;;;;3.3;;;;;;;;;0.0;;0.0;;1.269;0.205;;;;
03/02/2021 10:11:00;03/02/2021;10:11:00;0.0;292.5;1013.7;0.0;0.0;3.3;0.91;;3.2;1.7278617710583153;1.9;3.3;2.2;;0.0;46.0;0.0;154.6;;;;3.3;;;;;;;;;0.0;;0.0;;1.2693;0.205;;;;
03/02/2021 11:01:00;03/02/2021;11:01:00;1.7278617710583153;292.5;1013.6;0.0;0.0;3.1;0.92;;3.1;2.5917926565874727;1.9;2.8;2.2;;0.0;46.0;0.0;154.6;;;;2.8;;;;;;;;;1.7278617710583153;;0.0;;1.2699;0.205;;;;
03/02/2021 11:01:00;03/02/2021;11:01:00;1.7278617710583153;292.5;1013.6;0.0;0.0;3.1;0.92;;3.1;2.5917926565874727;1.9;2.8;2.2;;0.0;46.0;0.0;154.6;;;;2.8;;;;;;;;;1.7278617710583153;;0.0;;1.2699;0.205;;;;
03/02/2021 11:11:00;03/02/2021;11:11:00;0.8639308855291576;292.5;1013.5;0.0;0.0;3.2;0.92;;3.2;2.5917926565874727;2.0;2.9;2.2;;0.0;46.0;0.0;154.6;;;;2.9;;;;;;;;;1.7278617710583153;;0.0;;1.2693;0.205;;;;
03/02/2021 15:11:00;03/02/2021;15:11:00;0.0;292.5;1010.9;0.0;0.0;3.8;0.91;;3.7;2.5917926565874727;2.4;3.8;2.2;;0.13333333333333333;46.0;0.0;154.6;;;;3.8;;;;;;;;;0.0;;0.0;;1.2632;0.205;;;;
03/02/2021 15:21:00;03/02/2021;15:21:00;0.0;292.5;1010.8;0.0;0.0;3.7;0.92;;3.7;2.5917926565874727;2.5;3.7;2.2;;0.0;46.0;0.0;154.6;;;;3.7;;;;;;;;;0.0;;0.0;;1.2632;0.205;;;;
03/02/2021 15:31:00;03/02/2021;15:31:00;0.0;292.5;1010.7;0.0;0.0;3.7;0.92;;3.6;2.5917926565874727;2.5;3.7;2.2;;0.06666666666666667;46.0;0.0;154.6;;;;3.7;;;;;;;;;0.0;;0.0;;1.2634;0.205;;;;
03/02/2021 15:41:00;03/02/2021;15:41:00;0.0;292.5;1010.7;0.0;0.0;3.6;0.93;;3.6;2.5917926565874727;2.6;3.6;2.2;;0.06666666666666667;46.0;0.0;154.6;;;;3.6;;;;;;;;;0.0;;0.0;;1.2636;0.20800000000000002;;;;
03/02/2021 15:51:00;03/02/2021;15:51:00;0.0;292.5;1010.5;0.0;0.0;3.6;0.93;;3.6;2.5917926565874727;2.5;3.6;2.2;;0.0;46.0;0.0;154.6;;;;3.6;;;;;;;;;0.0;;0.0;;1.2637;0.20800000000000002;;;;
03/02/2021 16:01:00;03/02/2021;16:01:00;0.0;292.5;1010.5;0.0;0.0;3.6;0.93;;3.6;2.5917926565874727;2.5;3.6;2.2;;0.0;46.0;0.0;154.6;;;;3.6;;;;;;;;;0.0;;0.0;;1.2637;0.20800000000000002;;;;
03/02/2021 16:11:00;03/02/2021;16:11:00;0.0;292.5;1010.6;0.0;0.0;3.5;0.93;;3.5;2.5917926565874727;2.5;3.5;2.2;;0.0;46.0;0.0;154.6;;;;3.5;;;;;;;;;0.0;;0.0;;1.264;0.20800000000000002;;;;
03/02/2021 16:21:00;03/02/2021;16:21:00;0.0;292.5;1010.6;0.0;0.0;3.4;0.93;;3.4;2.5917926565874727;2.4;3.4;2.2;;0.4;46.0;0.0;154.6;;;;3.4;;;;;;;;;0.0;;0.0;;1.2643;0.20800000000000002;;;;
03/02/2021 16:31:00;03/02/2021;16:31:00;0.0;292.5;1010.3;0.0;0.0;3.3;0.93;;3.3;2.5917926565874727;2.3;3.3;2.2;;0.9333333333333333;46.0;0.0;154.6;;;;3.3;;;;;;;;;0.0;;0.0;;1.2649;0.20800000000000002;;;;
03/02/2021 16:41:00;03/02/2021;16:41:00;0.0;292.5;1010.4;0.0;0.0;3.2;0.94;;3.2;2.5917926565874727;2.3;3.2;2.2;;0.9333333333333333;46.0;0.0;154.6;;;;3.2;;;;;;;;;0.0;;0.0;;1.2651;0.214;;;;
03/02/2021 16:51:00;03/02/2021;16:51:00;0.0;292.5;1010.3;0.0;0.0;3.2;0.94;;3.2;2.5917926565874727;2.3;3.2;2.2;;0.9333333333333333;46.0;0.0;154.6;;;;3.2;;;;;;;;;0.0;;0.0;;1.2653;0.214;;;;
03/02/2021 17:01:00;03/02/2021;17:01:00;0.0;292.5;1010.4;0.0;0.0;3.1;0.95;;3.1;2.5917926565874727;2.4;3.1;2.2;;0.8666666666666667;46.0;0.0;154.6;;;;3.1;;;;;;;;;0.0;;0.0;;1.2656;0.21600000000000003;;;;
03/02/2021 17:11:00;03/02/2021;17:11:00;0.0;292.5;1010.3;0.0;0.0;3.1;0.95;;3.1;2.5917926565874727;2.4;3.1;2.2;;0.7333333333333333;46.0;0.0;154.6;;;;3.1;;;;;;;;;0.0;;0.0;;1.2655;0.21600000000000003;;;;
03/02/2021 17:21:00;03/02/2021;17:21:00;0.0;292.5;1010.4;0.0;0.0;3.0;0.95;;3.0;2.5917926565874727;2.3;3.0;2.2;;0.7333333333333333;46.0;0.0;154.6;;;;3.0;;;;;;;;;0.0;;0.0;;1.2662;0.21600000000000003;;;;
03/02/2021 17:31:00;03/02/2021;17:31:00;0.0;292.5;1010.5;0.0;0.0;3.0;0.95;;3.0;2.5917926565874727;2.3;3.0;2.2;;0.8666666666666667;46.0;0.0;154.6;;;;3.0;;;;;;;;;0.0;;0.0;;1.2664;0.21600000000000003;;;;
03/02/2021 17:41:00;03/02/2021;17:41:00;0.0;292.5;1010.5;0.0;0.0;2.8;0.95;;2.8;2.5917926565874727;2.1;2.8;2.2;;1.0;46.0;0.0;154.6;;;;2.8;;;;;;;;;0.0;;0.0;;1.2672;0.21600000000000003;;;;
03/02/2021 17:51:00;03/02/2021;17:51:00;0.0;292.5;1010.6;0.0;0.0;2.8;0.95;;2.8;2.5917926565874727;2.1;2.8;2.2;;1.0;46.0;0.0;154.6;;;;2.8;;;;;;;;;0.0;;0.0;;1.2676;0.21600000000000003;;;;
03/02/2021 18:01:00;03/02/2021;18:01:00;0.0;292.5;1010.5;0.0;0.0;2.8;0.96;;2.8;2.5917926565874727;2.2;2.8;2.2;;1.0;46.0;0.0;154.6;;;;2.8;;;;;;;;;0.0;;0.0;;1.2674;0.218;;;;
03/02/2021 18:11:00;03/02/2021;18:11:00;0.0;292.5;1010.5;0.0;0.0;2.8;0.96;;2.8;2.5917926565874727;2.2;2.8;2.2;;1.0;46.0;0.0;154.6;;;;2.8;;;;;;;;;0.0;;0.0;;1.2674;0.218;;;;
03/02/2021 18:21:00;03/02/2021;18:21:00;0.0;292.5;1010.6;0.2;0.0;2.8;0.95;;2.8;2.5917926565874727;2.1;2.8;2.2;;1.0;46.0;0.2;154.8;;;;2.8;;;;;;;;;0.0;;0.0;;1.2676;0.21600000000000003;;;;
03/02/2021 18:31:00;03/02/2021;18:31:00;0.0;292.5;1010.4;0.2;0.0;2.8;0.96;;2.8;2.5917926565874727;2.2;2.8;2.2;;1.0;46.0;0.2;154.8;;;;2.8;;;;;;;;;0.0;;0.0;;1.2673;0.218;;;;
03/02/2021 18:41:00;03/02/2021;18:41:00;0.0;292.5;1010.5;0.2;0.0;2.7;0.96;;2.7;2.5917926565874727;2.1;2.7;2.2;;1.0;46.0;0.2;154.8;;;;2.7;;;;;;;;;0.0;;0.0;;1.2677;0.218;;;;
03/02/2021 18:51:00;03/02/2021;18:51:00;0.0;292.5;1010.6;0.2;0.0;2.8;0.96;;2.8;2.5917926565874727;2.2;2.8;2.2;;1.0;46.0;0.2;154.8;;;;2.8;;;;;;;;;0.0;;0.0;;1.2675;0.218;;;;
03/02/2021 19:01:00;03/02/2021;19:01:00;0.0;292.5;1010.6;0.2;0.0;2.6;0.96;;2.6;2.5917926565874727;2.0;2.6;2.2;;1.0;46.0;0.2;154.8;;;;2.6;;;;;;;;;0.0;;0.0;;1.2687;0.218;;;;
03/02/2021 19:11:00;03/02/2021;19:11:00;0.0;292.5;1010.6;0.2;0.0;2.6;0.96;;2.6;2.5917926565874727;2.0;2.6;2.2;;1.0;46.0;0.2;154.8;;;;2.6;;;;;;;;;0.0;;0.0;;1.2687;0.218;;;;
03/02/2021 19:21:00;03/02/2021;19:21:00;0.0;292.5;1010.6;0.2;0.0;2.6;0.96;;2.6;2.5917926565874727;2.0;2.6;2.2;;1.0;46.0;0.2;154.8;;;;2.6;;;;;;;;;0.0;;0.0;;1.2684;0.218;;;;
03/02/2021 19:31:00;03/02/2021;19:31:00;0.0;292.5;1010.7;0.2;0.0;2.5;0.96;;2.5;2.5917926565874727;1.9;2.5;2.2;;1.0;46.0;0.2;154.8;;;;2.5;;;;;;;;;0.0;;0.0;;1.2691;0.218;;;;
03/02/2021 19:51:00;03/02/2021;19:51:00;0.0;292.5;1010.7;0.2;0.0;2.5;0.97;;2.5;2.5917926565874727;2.1;2.5;2.2;;1.0;46.0;0.2;154.8;;;;2.5;;;;;;;;;0.0;;0.0;;1.269;0.218;;;;
03/02/2021 20:01:00;03/02/2021;20:01:00;0.0;292.5;1010.6;0.2;0.0;2.6;0.97;;2.6;2.5917926565874727;2.1;2.6;2.2;;1.0;46.0;0.2;154.8;;;;2.6;;;;;;;;;0.0;;0.0;;1.2686;0.218;;;;
03/02/2021 20:11:00;03/02/2021;20:11:00;0.0;292.5;1010.6;0.2;0.0;2.7;0.97;;2.7;2.5917926565874727;2.2;2.7;2.2;;1.0;46.0;0.2;154.8;;;;2.7;;;;;;;;;0.0;;0.0;;1.2681;0.218;;;;
