timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc
02/01/2021 18:28:00;02/01/2021;18:28:00;0.0;0;1009.2;0.0;0.0;-1.1;0.98;;;;-1.4;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 18:38:00;02/01/2021;18:38:00;0.0;0;1009.2;0.0;0.0;-1.1;0.98;;;;-1.4;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 18:47:00;02/01/2021;18:47:00;0.0;0;1009.0;0.0;0.0;-1.1;0.99;;;;-1.2;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 18:56:00;02/01/2021;18:56:00;0.0;0;1009.0;0.0;0.0;-1.1;0.99;;;;-1.2;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 18:59:00;02/01/2021;18:59:00;0.0;0;1009.0;0.0;0.0;-1.1;0.99;;;;-1.2;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 19:08:00;02/01/2021;19:08:00;0.0;0;1009.0;0.0;0.0;-1.1;0.99;;;;-1.2;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 19:18:00;02/01/2021;19:18:00;0.0;0;1009.1;0.0;0.0;-1.1;0.99;;;;-1.2;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 19:28:00;02/01/2021;19:28:00;0.0;0;1009.1;0.0;0.0;-1.1;0.99;;;;-1.2;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 19:37:00;02/01/2021;19:37:00;0.0;0;1009.2;0.0;0.0;-1.2;0.99;;;;-1.3;;;;;;;;;;;-1.2;;-1.2;;-1.2;;;;;;;;;;;
02/01/2021 19:47:00;02/01/2021;19:47:00;0.0;0;1009.2;0.0;0.0;-1.2;0.98;;;;-1.5;;;;;;;;;;;-1.2;;-1.2;;-1.2;;;;;;;;;;;
02/01/2021 19:57:00;02/01/2021;19:57:00;0.0;0;1009.2;0.0;0.0;-1.2;1.0;;;;-1.2;;;;;;;;;;;-1.2;;-1.2;;-1.2;;;;;;;;;;;
02/01/2021 20:08:00;02/01/2021;20:08:00;0.0;0;1009.1;0.0;0.0;-1.1;0.99;;;;-1.2;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 20:18:00;02/01/2021;20:18:00;0.0;0;1009.0;0.0;0.0;-1.1;0.99;;;;-1.2;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 20:27:00;02/01/2021;20:27:00;0.0;0;1009.0;0.0;0.0;-1.1;0.99;;;;-1.2;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 20:38:00;02/01/2021;20:38:00;0.0;0;1009.0;0.0;0.0;-1.1;0.99;;;;-1.2;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 20:48:00;02/01/2021;20:48:00;0.0;0;1009.0;0.0;0.0;-1.1;0.99;;;;-1.2;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
02/01/2021 20:54:00;02/01/2021;20:54:00;0.0;0;1009.0;0.0;0.0;-1.1;0.99;;;;-1.2;;;;;;;;;;;-1.1;;-1.1;;-1.1;;;;;;;;;;;
03/01/2021 00:26:00;03/01/2021;00:26:00;0.0;0;1009.0;0.0;0.0;-1.4;0.98;;;;-1.7;;;;;;;;;;;-1.4;;-1.4;;-1.4;;;;;;;;;;;
03/01/2021 00:36:00;03/01/2021;00:36:00;0.0;0;1008.9;0.0;0.0;-1.4;0.98;;;;-1.7;;;;;;;;;;;-1.4;;-1.4;;-1.4;;;;;;;;;;;
03/01/2021 00:45:00;03/01/2021;00:45:00;0.0;0;1008.8;0.0;0.0;-1.4;0.98;;;;-1.7;;;;;;;;;;;-1.4;;-1.4;;-1.4;;;;;;;;;;;
03/01/2021 00:56:00;03/01/2021;00:56:00;0.0;0;1008.8;0.0;0.0;-1.4;0.98;;;;-1.7;;;;;;;;;;;-1.4;;-1.4;;-1.4;;;;;;;;;;;
03/01/2021 01:06:00;03/01/2021;01:06:00;0.0;0;1009.2;0.0;0.0;-1.4;0.98;;;;-1.7;;;;;;;;;;;-1.4;;-1.4;;-1.4;;;;;;;;;;;
03/01/2021 01:15:00;03/01/2021;01:15:00;0.0;0;1009.2;0.0;0.0;-1.4;0.98;;;;-1.7;;;;;;;;;;;-1.4;;-1.4;;-1.4;;;;;;;;;;;
03/01/2021 01:25:00;03/01/2021;01:25:00;0.0;0;1009.2;0.0;0.0;-1.4;0.98;;;;-1.7;;;;;;;;;;;-1.4;;-1.4;;-1.4;;;;;;;;;;;
03/01/2021 01:35:00;03/01/2021;01:35:00;0.0;0;1009.2;0.0;0.0;-1.4;0.98;;;;-1.7;;;;;;;;;;;-1.4;;-1.4;;-1.4;;;;;;;;;;;
03/01/2021 01:44:00;03/01/2021;01:44:00;0.0;0;1009.2;0.0;0.0;-1.4;0.98;;;;-1.7;;;;;;;;;;;-1.4;;-1.4;;-1.4;;;;;;;;;;;
03/01/2021 01:54:00;03/01/2021;01:54:00;0.0;0;1009.4;0.0;0.0;-1.4;0.98;;;;-1.7;;;;;;;;;;;-1.4;;-1.4;;-1.4;;;;;;;;;;;
03/01/2021 02:04:00;03/01/2021;02:04:00;0.0;0;1009.7;0.0;0.0;-1.6;0.98;;;;-1.9;;;;;;;;;;;-1.6;;-1.6;;-1.6;;;;;;;;;;;
03/01/2021 02:14:00;03/01/2021;02:14:00;0.0;0;1009.7;0.0;0.0;-1.6;0.98;;;;-1.9;;;;;;;;;;;-1.6;;-1.6;;-1.6;;;;;;;;;;;
03/01/2021 02:25:00;03/01/2021;02:25:00;0.0;0;1009.8;0.0;0.0;-1.7;0.98;;;;-2.0;;;;;;;;;;;-1.7;;-1.7;;-1.7;;;;;;;;;;;
03/01/2021 02:35:00;03/01/2021;02:35:00;0.0;0;1009.9;0.0;0.0;-1.7;0.98;;;;-2.0;;;;;;;;;;;-1.7;;-1.7;;-1.7;;;;;;;;;;;
03/01/2021 02:45:00;03/01/2021;02:45:00;0.0;0;1010.1;0.0;0.0;-1.8;0.98;;;;-2.1;;;;;;;;;;;-1.8;;-1.8;;-1.8;;;;;;;;;;;
03/01/2021 02:52:00;03/01/2021;02:52:00;0.0;0;1010.1;0.0;0.0;-1.8;0.98;;;;-2.1;;;;;;;;;;;-1.8;;-1.8;;-1.8;;;;;;;;;;;
03/01/2021 03:32:00;03/01/2021;03:32:00;0.0;0;1010.0;0.0;0.0;-1.8;0.98;;;;-2.1;;;;;;;;;;;-1.8;;-1.8;;-1.8;;;;;;;;;;;
03/01/2021 03:42:00;03/01/2021;03:42:00;0.0;0;1010.0;0.0;0.0;-1.8;0.98;;;;-2.1;;;;;;;;;;;-1.8;;-1.8;;-1.8;;;;;;;;;;;
03/01/2021 03:51:00;03/01/2021;03:51:00;0.0;0;1010.1;0.0;0.0;-1.8;0.98;;;;-2.1;;;;;;;;;;;-1.8;;-1.8;;-1.8;;;;;;;;;;;
03/01/2021 04:00:00;03/01/2021;04:00:00;0.0;0;1010.1;0.0;0.0;-1.8;0.98;;;;-2.1;;;;;;;;;;;-1.8;;-1.8;;-1.8;;;;;;;;;;;
03/01/2021 04:10:00;03/01/2021;04:10:00;0.0;0;1010.1;0.0;0.0;-1.7;0.98;;;;-2.0;;;;;;;;;;;-1.7;;-1.7;;-1.7;;;;;;;;;;;
