timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp
03/02/2021 09:52:00;03/02/2021;09:52:00;0.0;337.5;1016.5;0.0;;5.2;0.84;;;3.509719222462203;2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2021 10:00:00;03/02/2021;10:00:00;0.0;337.5;1016.6;0.0;;5.3;0.83;;;3.509719222462203;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2021 11:03:00;03/02/2021;11:03:00;0.0;22.5;1016.6;0.0;;6.1;0.82;;;3.509719222462203;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2021 11:09:00;03/02/2021;11:09:00;0.0;22.5;1016.6;0.0;;6.1;0.8;;;3.509719222462203;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2021 11:39:00;03/02/2021;11:39:00;0.0;22.5;1016.3;0.0;;6.6;0.76;;;3.509719222462203;2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2021 15:24:00;03/02/2021;15:24:00;0.0;135;1013.9;0.0;;6.2;0.82;;;3.509719222462203;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2021 15:40:00;03/02/2021;15:40:00;0.0;135;1013.6;0.0;;6.0;0.84;;;3.509719222462203;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2021 16:09:00;03/02/2021;16:09:00;0.0;135;1013.4;0.0;;5.9;0.85;;;3.509719222462203;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2021 16:40:00;03/02/2021;16:40:00;0.0;135;1013.4;0.0;;5.7;0.86;;;3.509719222462203;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2021 17:10:00;03/02/2021;17:10:00;0.0;135;1013.5;0.0;;5.5;0.83;;;3.509719222462203;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
