timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp;last_rain_event_timestamp
10/03/2021 17:18:00;10/03/2021;17:18:00;13.984881209503238;225;;0.5;;-1.6;0.83;;;21.81425485961123;-4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 17:48:00;10/03/2021;17:48:00;13.012958963282937;225;;0.5;;-1.8;0.84;;;21.81425485961123;-4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 18:24:00;10/03/2021;18:24:00;9.503239740820735;247.5;;0.5;;-2.0;0.85;;;21.81425485961123;-4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 18:50:00;10/03/2021;18:50:00;7.775377969762419;270;;0.5;;-2.2;0.87;;;21.81425485961123;-4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 19:20:00;10/03/2021;19:20:00;8.69330453563715;270;;0.5;;-2.1;0.88;;;21.81425485961123;-3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 19:50:00;10/03/2021;19:50:00;5.9935205183585305;270;;0.5;;-1.8;0.86;;;21.81425485961123;-3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 20:21:00;10/03/2021;20:21:00;5.183585313174945;292.5;;0.5;;-1.8;0.86;;;21.81425485961123;-3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 20:51:00;10/03/2021;20:51:00;7.019438444924406;292.5;;0.5;;-1.5;0.81;;;21.81425485961123;-4.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 21:21:00;10/03/2021;21:21:00;5.9935205183585305;292.5;;0.5;;-1.1;0.77;;;21.81425485961123;-4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 21:51:00;10/03/2021;21:51:00;5.183585313174945;315;;0.5;;-1.2;0.78;;;21.81425485961123;-4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 22:21:00;10/03/2021;22:21:00;4.319654427645788;315;;0.5;;-1.1;0.78;;;21.81425485961123;-4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 22:51:00;10/03/2021;22:51:00;0.8099352051835853;315;;0.5;;-1.4;0.79;;;21.81425485961123;-4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
