timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp;last_rain_event_timestamp
10/03/2021 17:00:00;10/03/2021;17:00:00;14.773218142548595;225;;;;-1.1;0.7;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 18:00:00;10/03/2021;18:00:00;12.829373650107991;202.5;;;;-1.9;0.72;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 19:00:00;10/03/2021;19:00:00;6.8034557235421165;225;;;;-2.4;0.75;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 20:00:00;10/03/2021;20:00:00;5.637149028077753;225;;;;-2.1;0.76;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 21:00:00;10/03/2021;21:00:00;5.442764578833693;247.5;;;;-2.0;0.7;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 22:00:00;10/03/2021;22:00:00;3.8876889848812093;292.5;;;;-1.4;0.68;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2021 23:00:00;10/03/2021;23:00:00;2.138228941684665;247.5;;;;-1.7;0.68;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2021 00:00:00;11/03/2021;00:00:00;2.5269978401727857;202.5;;;;-2.1;0.68;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2021 01:00:00;11/03/2021;01:00:00;8.55291576673866;157.5;;;;-2.9;0.78;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2021 02:00:00;11/03/2021;02:00:00;4.082073434125269;180;;;;-2.9;0.78;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2021 03:00:00;11/03/2021;03:00:00;2.915766738660907;247.5;;;;-2.2;0.72;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
