timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm
20/11/2020 17:11:00;20/11/2020;17:11:00;11.3;34.0;1023.2;0.0;0.0;12.4;0.68;;;20.0;6.7;;;;;;;;;;;9.7;;;;;;;;;;;
20/11/2020 17:12:00;20/11/2020;17:12:00;12.2;37.0;1023.2;0.0;0.0;12.4;0.68;;;20.0;6.7;;;;;;;;;;;10.3;;;;;;;;;;;
20/11/2020 17:13:00;20/11/2020;17:13:00;12.2;35.0;1023.2;0.0;0.0;12.4;0.68;;;20.0;6.7;;;;;;;;;;;10.2;;;;;;;;;;;
20/11/2020 17:15:00;20/11/2020;17:15:00;13.0;46.0;1023.3;0.0;0.0;12.3;0.68;;;18.3;6.6;;;;;;;;;;;9.8;;;;;;;;;;;
20/11/2020 17:16:00;20/11/2020;17:16:00;13.0;43.0;1023.3;0.0;0.0;12.3;0.67;;;19.1;6.3;;;;;;;;;;;9.6;;;;;;;;;;;
20/11/2020 17:17:00;20/11/2020;17:17:00;14.0;38.0;1023.2;0.0;0.0;12.4;0.68;;;20.8;6.7;;;;;;;;;;;10.0;;;;;;;;;;;
20/11/2020 17:18:00;20/11/2020;17:18:00;14.0;31.0;1023.2;0.0;0.0;12.4;0.68;;;20.8;6.7;;;;;;;;;;;9.9;;;;;;;;;;;
20/11/2020 17:20:00;20/11/2020;17:20:00;14.8;32.0;1023.2;0.0;0.0;12.4;0.67;;;20.8;6.4;;;;;;;;;;;9.6;;;;;;;;;;;
20/11/2020 17:22:00;20/11/2020;17:22:00;14.8;37.0;1023.3;0.0;0.0;12.3;0.67;;;22.6;6.3;;;;;;;;;;;9.0;;;;;;;;;;;
20/11/2020 17:23:00;20/11/2020;17:23:00;15.6;54.0;1023.3;0.0;0.0;12.4;0.67;;;22.6;6.4;;;;;;;;;;;9.3;;;;;;;;;;;
20/11/2020 17:24:00;20/11/2020;17:24:00;15.6;46.0;1023.3;0.0;0.0;12.4;0.68;;;22.6;6.7;;;;;;;;;;;9.6;;;;;;;;;;;
20/11/2020 17:25:00;20/11/2020;17:25:00;15.6;39.0;1023.3;0.0;0.0;12.4;0.68;;;22.6;6.7;;;;;;;;;;;9.8;;;;;;;;;;;
20/11/2020 17:28:00;20/11/2020;17:28:00;16.5;55.0;1023.4;0.0;0.0;12.4;0.68;;;21.8;6.7;;;;;;;;;;;10.1;;;;;;;;;;;
20/11/2020 17:29:00;20/11/2020;17:29:00;16.5;37.0;1023.4;0.0;0.0;12.4;0.68;;;21.8;6.7;;;;;;;;;;;9.6;;;;;;;;;;;
20/11/2020 17:31:00;20/11/2020;17:31:00;16.5;48.0;1023.5;0.0;0.0;12.4;0.67;;;21.8;6.4;;;;;;;;;;;10.2;;;;;;;;;;;
20/11/2020 17:32:00;20/11/2020;17:32:00;15.6;21.0;1023.6;0.0;0.0;12.3;0.68;;;21.8;6.6;;;;;;;;;;;9.7;;;;;;;;;;;
20/11/2020 17:34:00;20/11/2020;17:34:00;15.6;55.0;1023.6;0.0;0.0;12.3;0.67;;;20.8;6.3;;;;;;;;;;;9.5;;;;;;;;;;;
20/11/2020 18:44:00;20/11/2020;18:44:00;18.3;58.0;1024.4;0.0;0.0;12.1;0.67;;;24.3;6.2;;;;;;;;;;;8.6;;;;;;;;;;;
20/11/2020 18:46:00;20/11/2020;18:46:00;19.1;52.0;1024.5;0.0;0.0;12.0;0.67;;;27.0;6.1;;;;;;;;;;;8.6;;;;;;;;;;;
20/11/2020 18:47:00;20/11/2020;18:47:00;20.0;65.0;1024.5;0.0;0.0;12.1;0.66;;;27.0;5.9;;;;;;;;;;;8.6;;;;;;;;;;;
20/11/2020 18:49:00;20/11/2020;18:49:00;20.0;49.0;1024.6;0.0;0.0;12.1;0.67;;;27.0;6.2;;;;;;;;;;;8.9;;;;;;;;;;;
20/11/2020 18:50:00;20/11/2020;18:50:00;20.0;33.0;1024.5;0.0;0.0;12.0;0.67;;;27.0;6.1;;;;;;;;;;;9.3;;;;;;;;;;;
20/11/2020 18:51:00;20/11/2020;18:51:00;20.0;65.0;1024.5;0.0;0.0;12.0;0.67;;;27.0;6.1;;;;;;;;;;;8.8;;;;;;;;;;;
20/11/2020 18:53:00;20/11/2020;18:53:00;20.0;53.0;1024.6;0.0;0.0;11.9;0.66;;;27.0;5.7;;;;;;;;;;;8.4;;;;;;;;;;;
20/11/2020 19:34:00;20/11/2020;19:34:00;20.0;49.0;1025.1;0.0;0.0;11.6;0.66;;;26.1;5.5;;;;;;;;;;;8.6;;;;;;;;;;;
20/11/2020 19:35:00;20/11/2020;19:35:00;20.0;57.0;1025.2;0.0;0.0;11.6;0.65;;;26.1;5.2;;;;;;;;;;;8.5;;;;;;;;;;;
20/11/2020 19:36:00;20/11/2020;19:36:00;20.0;43.0;1025.1;0.0;0.0;11.7;0.67;;;26.1;5.8;;;;;;;;;;;8.4;;;;;;;;;;;
20/11/2020 19:37:00;20/11/2020;19:37:00;20.0;40.0;1025.3;0.0;0.0;11.6;0.67;;;25.3;5.7;;;;;;;;;;;8.4;;;;;;;;;;;
20/11/2020 19:38:00;20/11/2020;19:38:00;20.0;69.0;1025.2;0.0;0.0;11.7;0.67;;;25.3;5.8;;;;;;;;;;;8.7;;;;;;;;;;;
20/11/2020 19:42:00;20/11/2020;19:42:00;19.1;51.0;1025.3;0.0;0.0;11.6;0.68;;;27.0;5.9;;;;;;;;;;;8.0;;;;;;;;;;;
20/11/2020 19:43:00;20/11/2020;19:43:00;19.1;50.0;1025.4;0.0;0.0;11.6;0.66;;;27.0;5.5;;;;;;;;;;;8.5;;;;;;;;;;;
20/11/2020 19:44:00;20/11/2020;19:44:00;19.1;36.0;1025.3;0.0;0.0;11.5;0.68;;;27.0;5.8;;;;;;;;;;;8.1;;;;;;;;;;;
20/11/2020 19:45:00;20/11/2020;19:45:00;19.1;43.0;1025.4;0.0;0.0;11.4;0.64;;;25.3;4.8;;;;;;;;;;;8.7;;;;;;;;;;;
20/11/2020 19:46:00;20/11/2020;19:46:00;19.1;22.0;1025.4;0.0;0.0;11.5;0.66;;;25.3;5.4;;;;;;;;;;;8.5;;;;;;;;;;;
20/11/2020 19:48:00;20/11/2020;19:48:00;20.0;46.0;1025.5;0.0;0.0;11.4;0.65;;;25.3;5.1;;;;;;;;;;;8.6;;;;;;;;;;;
20/11/2020 19:49:00;20/11/2020;19:49:00;20.0;50.0;1025.3;0.0;0.0;11.5;0.66;;;25.3;5.4;;;;;;;;;;;8.2;;;;;;;;;;;
20/11/2020 19:50:00;20/11/2020;19:50:00;19.1;38.0;1025.6;0.0;0.0;11.6;0.68;;;25.3;5.9;;;;;;;;;;;8.5;;;;;;;;;;;
20/11/2020 19:51:00;20/11/2020;19:51:00;19.1;59.0;1025.5;0.0;0.0;11.4;0.66;;;26.1;5.3;;;;;;;;;;;7.8;;;;;;;;;;;
20/11/2020 19:52:00;20/11/2020;19:52:00;19.1;50.0;1025.5;0.0;0.0;11.4;0.66;;;26.1;5.3;;;;;;;;;;;8.6;;;;;;;;;;;
20/11/2020 19:54:00;20/11/2020;19:54:00;20.0;63.0;1025.4;0.0;0.0;11.3;0.65;;;27.0;5.0;;;;;;;;;;;7.9;;;;;;;;;;;
20/11/2020 19:55:00;20/11/2020;19:55:00;20.0;39.0;1025.5;0.0;0.0;11.3;0.64;;;27.0;4.7;;;;;;;;;;;8.2;;;;;;;;;;;
20/11/2020 19:58:00;20/11/2020;19:58:00;20.8;55.0;1025.5;0.0;0.0;11.4;0.66;;;27.0;5.3;;;;;;;;;;;8.5;;;;;;;;;;;
