timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc
02/01/2021 18:28:00;02/01/2021;18:28:00;0.0;330.0;1005.5;0.0;0.0;6.5;0.01;;;0.8;-46.2;;;;;;;;;;;6.5;;;;;;;;;;;;;;;
02/01/2021 18:30:00;02/01/2021;18:30:00;0.0;324.0;1005.6;0.0;0.0;6.5;0.01;;;0.8;-46.2;;;;;;;;;;;6.5;;;;;;;;;;;;;;;
02/01/2021 18:31:00;02/01/2021;18:31:00;0.0;331.0;1005.5;0.0;0.0;6.5;0.01;;;0.8;-46.2;;;;;;;;;;;6.5;;;;;;;;;;;;;;;
02/01/2021 18:32:00;02/01/2021;18:32:00;0.0;344.0;1005.5;0.0;0.0;6.5;0.01;;;0.8;-46.2;;;;;;;;;;;6.5;;;;;;;;;;;;;;;
02/01/2021 18:33:00;02/01/2021;18:33:00;0.0;321.0;1005.5;0.0;0.0;6.5;0.01;;;0.8;-46.2;;;;;;;;;;;6.5;;;;;;;;;;;;;;;
02/01/2021 18:34:00;02/01/2021;18:34:00;0.0;355.0;1005.5;0.0;0.0;6.5;0.01;;;0.0;-46.2;;;;;;;;;;;6.5;;;;;;;;;;;;;;;
02/01/2021 18:35:00;02/01/2021;18:35:00;0.0;340.0;1005.5;0.0;0.0;6.5;0.01;;;0.8;-46.2;;;;;;;;;;;6.5;;;;;;;;;;;;;;;
02/01/2021 18:36:00;02/01/2021;18:36:00;0.0;17.0;1005.5;0.0;0.0;6.5;0.01;;;0.8;-46.2;;;;;;;;;;;6.5;;;;;;;;;;;;;;;
02/01/2021 18:38:00;02/01/2021;18:38:00;0.0;355.0;1005.6;0.0;0.0;6.5;0.01;;;0.8;-46.2;;;;;;;;;;;6.5;;;;;;;;;;;;;;;
02/01/2021 18:39:00;02/01/2021;18:39:00;0.0;340.0;1005.5;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:41:00;02/01/2021;18:41:00;0.0;336.0;1005.5;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:42:00;02/01/2021;18:42:00;0.0;350.0;1005.5;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:44:00;02/01/2021;18:44:00;0.0;342.0;1005.5;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:45:00;02/01/2021;18:45:00;0.0;329.0;1005.5;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:46:00;02/01/2021;18:46:00;0.0;337.0;1005.5;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:47:00;02/01/2021;18:47:00;0.0;327.0;1005.5;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:49:00;02/01/2021;18:49:00;0.0;327.0;1005.5;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:50:00;02/01/2021;18:50:00;0.0;338.0;1005.5;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:51:00;02/01/2021;18:51:00;0.0;338.0;1005.5;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:52:00;02/01/2021;18:52:00;0.0;28.0;1005.5;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:53:00;02/01/2021;18:53:00;0.0;338.0;1005.5;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:56:00;02/01/2021;18:56:00;0.0;350.0;1005.6;0.0;0.0;6.4;0.01;;;0.0;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:58:00;02/01/2021;18:58:00;0.0;26.0;1005.6;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 18:59:00;02/01/2021;18:59:00;0.0;346.0;1005.6;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
02/01/2021 19:01:00;02/01/2021;19:01:00;0.0;19.0;1005.6;0.0;0.0;6.4;0.01;;;0.8;-46.2;;;;;;;;;;;6.4;;;;;;;;;;;;;;;
