timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mm
19/11/2020 16:48:00;19/11/2020;16:48:00;5.2;203.0;1019.8;0.0;0.0;10.7;0.01;;;7.0;-43.6;;;;;;;;;;;10.2;;;;;;;;;;
19/11/2020 16:49:00;19/11/2020;16:49:00;5.2;184.0;1019.8;0.0;0.0;10.8;0.01;;;7.0;-43.5;;;;;;;;;;;10.3;;;;;;;;;;
19/11/2020 16:50:00;19/11/2020;16:50:00;4.3;180.0;1019.8;0.0;0.0;10.8;0.01;;;6.0;-43.5;;;;;;;;;;;10.3;;;;;;;;;;
19/11/2020 16:51:00;19/11/2020;16:51:00;4.3;200.0;1019.9;0.0;0.0;10.8;0.01;;;5.2;-43.5;;;;;;;;;;;10.3;;;;;;;;;;
19/11/2020 16:52:00;19/11/2020;16:52:00;4.3;191.0;1019.9;0.0;0.0;10.8;0.01;;;5.2;-43.5;;;;;;;;;;;10.0;;;;;;;;;;
19/11/2020 16:53:00;19/11/2020;16:53:00;4.3;192.0;1019.9;0.0;0.0;10.8;0.01;;;5.2;-43.5;;;;;;;;;;;10.3;;;;;;;;;;
19/11/2020 16:55:00;19/11/2020;16:55:00;4.3;194.0;1019.9;0.0;0.0;10.8;0.01;;;5.2;-43.5;;;;;;;;;;;10.3;;;;;;;;;;
19/11/2020 16:56:00;19/11/2020;16:56:00;4.3;200.0;1019.8;0.0;0.0;10.9;0.01;;;5.2;-43.5;;;;;;;;;;;10.3;;;;;;;;;;
19/11/2020 16:57:00;19/11/2020;16:57:00;4.3;200.0;1019.8;0.0;0.0;10.9;0.01;;;5.2;-43.5;;;;;;;;;;;9.8;;;;;;;;;;
19/11/2020 16:58:00;19/11/2020;16:58:00;4.3;182.0;1019.8;0.0;0.0;10.9;0.01;;;6.1;-43.5;;;;;;;;;;;9.8;;;;;;;;;;
