timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm
20/11/2020 17:11:00;20/11/2020;17:11:00;6.0;296.0;1021.3;0.0;0.0;12.2;0.69;;;7.8;6.7;;;;;;;;;;;10.9;;;;;;;;;;;
20/11/2020 17:12:00;20/11/2020;17:12:00;6.0;283.0;1021.3;0.0;0.0;12.2;0.69;;;7.8;6.7;;;;;;;;;;;11.1;;;;;;;;;;;
20/11/2020 17:14:00;20/11/2020;17:14:00;6.0;303.0;1021.3;0.0;0.0;12.2;0.69;;;7.8;6.7;;;;;;;;;;;11.9;;;;;;;;;;;
20/11/2020 17:15:00;20/11/2020;17:15:00;6.0;313.0;1021.3;0.0;0.0;12.2;0.69;;;7.8;6.7;;;;;;;;;;;11.3;;;;;;;;;;;
20/11/2020 17:16:00;20/11/2020;17:16:00;6.0;304.0;1021.4;0.0;0.0;12.2;0.69;;;7.8;6.7;;;;;;;;;;;11.6;;;;;;;;;;;
20/11/2020 17:18:00;20/11/2020;17:18:00;6.0;319.0;1021.3;0.0;0.0;12.2;0.69;;;7.8;6.7;;;;;;;;;;;10.9;;;;;;;;;;;
20/11/2020 17:19:00;20/11/2020;17:19:00;6.0;319.0;1021.4;0.0;0.0;12.2;0.69;;;7.8;6.7;;;;;;;;;;;11.3;;;;;;;;;;;
20/11/2020 17:22:00;20/11/2020;17:22:00;6.0;279.0;1021.4;0.0;0.0;12.1;0.69;;;7.8;6.6;;;;;;;;;;;11.8;;;;;;;;;;;
20/11/2020 17:24:00;20/11/2020;17:24:00;6.0;280.0;1021.4;0.0;0.0;12.1;0.69;;;10.5;6.6;;;;;;;;;;;10.1;;;;;;;;;;;
20/11/2020 17:29:00;20/11/2020;17:29:00;6.0;274.0;1021.4;0.0;0.0;12.1;0.7;;;9.5;6.8;;;;;;;;;;;10.7;;;;;;;;;;;
20/11/2020 17:30:00;20/11/2020;17:30:00;6.0;309.0;1021.4;0.0;0.0;12.1;0.69;;;9.5;6.6;;;;;;;;;;;11.8;;;;;;;;;;;
20/11/2020 17:32:00;20/11/2020;17:32:00;6.0;311.0;1021.5;0.0;0.0;12.1;0.7;;;8.7;6.8;;;;;;;;;;;10.7;;;;;;;;;;;
20/11/2020 17:33:00;20/11/2020;17:33:00;6.0;297.0;1021.5;0.0;0.0;12.1;0.69;;;8.7;6.6;;;;;;;;;;;11.0;;;;;;;;;;;
20/11/2020 18:45:00;20/11/2020;18:45:00;7.8;290.0;1022.5;0.0;0.0;11.4;0.73;;;9.5;6.7;;;;;;;;;;;9.5;;;;;;;;;;;
20/11/2020 18:46:00;20/11/2020;18:46:00;7.0;320.0;1022.3;0.0;0.0;11.4;0.72;;;9.5;6.5;;;;;;;;;;;10.7;;;;;;;;;;;
