timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm
20/11/2020 17:11:00;20/11/2020;17:11:00;4.3;52.0;1022.6;0.5;0.0;10.8;0.76;;;6.0;6.7;;;;;;;;;;;10.3;;;;;;;;;;;
20/11/2020 17:12:00;20/11/2020;17:12:00;4.3;51.0;1022.6;0.5;0.0;10.8;0.76;;;6.0;6.7;;;;;;;;;;;10.3;;;;;;;;;;;
20/11/2020 17:13:00;20/11/2020;17:13:00;4.3;52.0;1022.6;0.5;0.0;10.8;0.76;;;5.2;6.7;;;;;;;;;;;10.0;;;;;;;;;;;
20/11/2020 17:14:00;20/11/2020;17:14:00;4.3;50.0;1022.7;0.5;0.0;10.8;0.76;;;6.0;6.7;;;;;;;;;;;10.8;;;;;;;;;;;
20/11/2020 17:15:00;20/11/2020;17:15:00;4.3;53.0;1022.7;0.5;0.0;10.7;0.76;;;6.0;6.6;;;;;;;;;;;9.5;;;;;;;;;;;
20/11/2020 17:16:00;20/11/2020;17:16:00;4.3;48.0;1022.8;0.5;0.0;10.7;0.76;;;6.0;6.6;;;;;;;;;;;10.2;;;;;;;;;;;
20/11/2020 17:18:00;20/11/2020;17:18:00;4.3;47.0;1022.8;0.5;0.0;10.6;0.76;;;6.0;6.5;;;;;;;;;;;10.0;;;;;;;;;;;
20/11/2020 17:20:00;20/11/2020;17:20:00;3.5;49.0;1022.8;0.5;0.0;10.5;0.77;;;4.3;6.6;;;;;;;;;;;9.9;;;;;;;;;;;
20/11/2020 17:21:00;20/11/2020;17:21:00;3.5;44.0;1022.8;0.5;0.0;10.4;0.77;;;4.3;6.5;;;;;;;;;;;10.3;;;;;;;;;;;
20/11/2020 17:22:00;20/11/2020;17:22:00;3.5;47.0;1022.7;0.5;0.0;10.4;0.77;;;4.3;6.5;;;;;;;;;;;9.8;;;;;;;;;;;
