timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m
20/11/2020 20:14:00;20/11/2020;20:14:00;10.5;61.0;1024.9;0.5;0.0;10.2;0.8;;;12.2;6.9;;;;;;;;;;;7.9;;;;;;;;;;;;
20/11/2020 20:19:00;20/11/2020;20:19:00;8.7;59.0;1025.1;0.5;0.0;10.1;0.81;;;13.0;7.0;;;;;;;;;;;7.9;;;;;;;;;;;;
20/11/2020 20:21:00;20/11/2020;20:21:00;8.7;63.0;1025.0;0.5;0.0;10.2;0.81;;;13.0;7.1;;;;;;;;;;;7.5;;;;;;;;;;;;
20/11/2020 20:22:00;20/11/2020;20:22:00;9.5;58.0;1025.1;0.5;0.0;10.2;0.8;;;12.2;6.9;;;;;;;;;;;7.5;;;;;;;;;;;;
20/11/2020 20:23:00;20/11/2020;20:23:00;9.5;55.0;1025.1;0.5;0.0;10.3;0.8;;;12.2;7.0;;;;;;;;;;;8.1;;;;;;;;;;;;
20/11/2020 20:24:00;20/11/2020;20:24:00;9.5;65.0;1025.1;0.5;0.0;10.3;0.79;;;12.2;6.8;;;;;;;;;;;7.7;;;;;;;;;;;;
20/11/2020 20:25:00;20/11/2020;20:25:00;9.5;64.0;1025.1;0.5;0.0;10.3;0.79;;;14.0;6.8;;;;;;;;;;;7.8;;;;;;;;;;;;
20/11/2020 20:26:00;20/11/2020;20:26:00;10.5;68.0;1025.2;0.5;0.0;10.3;0.78;;;14.0;6.6;;;;;;;;;;;7.8;;;;;;;;;;;;
20/11/2020 20:28:00;20/11/2020;20:28:00;10.5;65.0;1025.3;0.5;0.0;10.4;0.79;;;14.0;6.9;;;;;;;;;;;8.5;;;;;;;;;;;;
20/11/2020 20:29:00;20/11/2020;20:29:00;10.5;61.0;1025.3;0.5;0.0;10.3;0.8;;;14.0;7.0;;;;;;;;;;;8.1;;;;;;;;;;;;
20/11/2020 20:30:00;20/11/2020;20:30:00;10.5;65.0;1025.4;0.5;0.0;10.3;0.8;;;13.0;7.0;;;;;;;;;;;7.5;;;;;;;;;;;;
20/11/2020 20:31:00;20/11/2020;20:31:00;10.5;67.0;1025.2;0.5;0.0;10.3;0.79;;;12.2;6.8;;;;;;;;;;;8.1;;;;;;;;;;;;
20/11/2020 20:32:00;20/11/2020;20:32:00;10.5;61.0;1025.4;0.5;0.0;10.3;0.79;;;12.2;6.8;;;;;;;;;;;7.7;;;;;;;;;;;;
20/11/2020 20:33:00;20/11/2020;20:33:00;9.5;68.0;1025.4;0.5;0.0;10.3;0.79;;;12.2;6.8;;;;;;;;;;;7.8;;;;;;;;;;;;
20/11/2020 20:34:00;20/11/2020;20:34:00;10.5;62.0;1025.3;0.5;0.0;10.3;0.79;;;13.0;6.8;;;;;;;;;;;8.0;;;;;;;;;;;;
20/11/2020 20:35:00;20/11/2020;20:35:00;9.5;61.0;1025.4;0.5;0.0;10.3;0.79;;;13.0;6.8;;;;;;;;;;;7.8;;;;;;;;;;;;
20/11/2020 20:37:00;20/11/2020;20:37:00;9.5;66.0;1025.4;0.5;0.0;10.3;0.76;;;14.8;6.3;;;;;;;;;;;7.7;;;;;;;;;;;;
20/11/2020 20:39:00;20/11/2020;20:39:00;10.5;63.0;1025.5;0.5;0.0;10.3;0.77;;;14.8;6.4;;;;;;;;;;;8.0;;;;;;;;;;;;
20/11/2020 20:40:00;20/11/2020;20:40:00;10.5;72.0;1025.4;0.5;0.0;10.3;0.77;;;14.8;6.4;;;;;;;;;;;7.3;;;;;;;;;;;;
20/11/2020 20:41:00;20/11/2020;20:41:00;11.3;69.0;1025.3;0.5;0.0;10.3;0.77;;;14.8;6.4;;;;;;;;;;;7.4;;;;;;;;;;;;
20/11/2020 20:43:00;20/11/2020;20:43:00;11.3;60.0;1025.4;0.5;0.0;10.3;0.77;;;14.8;6.4;;;;;;;;;;;7.5;;;;;;;;;;;;
