timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp
03/02/2021 09:52:00;03/02/2021;09:52:00;0.0;301.0;1015.0;0.0;0.0;5.7;0.94;;;0.8;4.8;;;;;;;;;;;5.7;;;;;;;;;;;;;;;;;;
03/02/2021 09:54:00;03/02/2021;09:54:00;0.0;312.0;1014.9;0.0;0.0;5.7;0.94;;;1.8;4.8;;;;;;;;;;;5.7;;;;;;;;;;;;;;;;;;
03/02/2021 09:56:00;03/02/2021;09:56:00;0.0;315.0;1014.8;0.0;0.0;5.7;0.94;;;1.8;4.8;;;;;;;;;;;5.7;;;;;;;;;;;;;;;;;;
03/02/2021 09:57:00;03/02/2021;09:57:00;0.8;323.0;1014.8;0.0;0.0;5.8;0.94;;;1.8;4.9;;;;;;;;;;;5.8;;;;;;;;;;;;;;;;;;
03/02/2021 09:58:00;03/02/2021;09:58:00;0.8;320.0;1014.8;0.0;0.0;5.8;0.94;;;1.8;4.9;;;;;;;;;;;5.8;;;;;;;;;;;;;;;;;;
03/02/2021 09:59:00;03/02/2021;09:59:00;0.8;318.0;1014.8;0.0;0.0;5.8;0.94;;;1.8;4.9;;;;;;;;;;;5.8;;;;;;;;;;;;;;;;;;
03/02/2021 10:00:00;03/02/2021;10:00:00;0.8;321.0;1014.7;0.0;0.0;5.8;0.94;;;1.8;4.9;;;;;;;;;;;5.8;;;;;;;;;;;;;;;;;;
03/02/2021 10:01:00;03/02/2021;10:01:00;0.8;322.0;1014.8;0.0;0.0;5.8;0.94;;;1.8;4.9;;;;;;;;;;;5.8;;;;;;;;;;;;;;;;;;
03/02/2021 10:02:00;03/02/2021;10:02:00;0.8;318.0;1014.7;0.0;0.0;5.8;0.94;;;1.8;4.9;;;;;;;;;;;5.8;;;;;;;;;;;;;;;;;;
03/02/2021 10:05:00;03/02/2021;10:05:00;0.8;311.0;1014.8;0.0;0.0;5.8;0.94;;;1.8;4.9;;;;;;;;;;;5.8;;;;;;;;;;;;;;;;;;
03/02/2021 10:06:00;03/02/2021;10:06:00;0.8;311.0;1014.8;0.0;0.0;5.8;0.94;;;1.8;4.9;;;;;;;;;;;5.8;;;;;;;;;;;;;;;;;;
03/02/2021 10:07:00;03/02/2021;10:07:00;0.8;313.0;1014.8;0.0;0.0;5.9;0.94;;;1.8;5.0;;;;;;;;;;;5.9;;;;;;;;;;;;;;;;;;
03/02/2021 10:09:00;03/02/2021;10:09:00;0.8;297.0;1014.9;0.0;0.0;5.9;0.94;;;1.8;5.0;;;;;;;;;;;5.9;;;;;;;;;;;;;;;;;;
03/02/2021 10:10:00;03/02/2021;10:10:00;1.8;300.0;1014.8;0.0;0.0;5.9;0.94;;;2.5;5.0;;;;;;;;;;;5.2;;;;;;;;;;;;;;;;;;
03/02/2021 10:11:00;03/02/2021;10:11:00;1.8;304.0;1014.9;0.0;0.0;5.9;0.94;;;2.5;5.0;;;;;;;;;;;5.9;;;;;;;;;;;;;;;;;;
03/02/2021 10:12:00;03/02/2021;10:12:00;1.8;324.0;1014.8;0.0;0.0;5.9;0.94;;;2.5;5.0;;;;;;;;;;;5.9;;;;;;;;;;;;;;;;;;
